"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","DreamIT Ventures","SnipSnap","1,000,000","angel","2012-05-11","Details","Exited"
"2","Entrepreneurs Roundtable Accelerator","Centzy","1,600,000","seed","2013-03-27","Details",""
