"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
"2","AccelFoods","Exo","4,000,000","venture","2016-03-07","Details",""
"3","Boost VC","AuditFile","3,000,000","venture","2014-02-07","Details",""
"4","Y Combinator","Genius","15,000,000","venture","2012-10-03","Details",""
"5","500startups","The Mars Reel","1,342,000","angel","2015-09-01","Details",""
"6","Y Combinator","Glio","","seed","2013-09-01","Details",""
"7","Y Combinator","DoseDr","","seed","2016-03-23","Details",""
"8","Y Combinator","Bikanta","1,700,000","seed","2014-08-18","Details",""
"9","Y Combinator","Boostable","622,000","seed","2014-04-08","Details",""
