"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Rewind Me Inc","800,000","seed","2012-06-14","Details","Dead"
"2","Y Combinator","Lanyrd","1,400,000","seed","2011-09-06","Details","Exited"
"3","Techstars","Urtak","500,000","seed","2012-01-11","Details","Dead"
"4","Y Combinator","Amicus","3,200,000","seed","2012-11-13","Details",""
"5","Y Combinator","Crowdbooster","","seed","2011-01-01","Details",""
"6","Y Combinator","Amicus","580,000","seed","2012-02-01","Details",""
"7","Y Combinator","Experiment","1,230,000","undisclosed","2013-06-01","Details",""
