"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","LeanMarket","","undisclosed","2013-10-01","Details",""
"2","Portland Incubator Experiment (PIE)","Little Bird","","undisclosed","2011-11-01","Details","Exited"
"3","500startups","Cloud Academy","3,000,000","convertible_note","2014-08-01","Details",""
"4","Y Combinator","EasyPost","2,250,000","seed","2014-01-01","Details",""
"5","Y Combinator","Leftronic","","undisclosed","2010-10-01","Details","Exited"
"6","Techstars","Lean Startup Machine","","undisclosed","2013-10-01","Details",""
