"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Algolia","18,300,000","venture","2015-05-20","Details",""
"2","Techstars","Hull","2,600,000","seed","2017-01-26","Details",""
