"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Voyager Capital","Lytics","2,200,000","seed","2013-08-09","Details",""
"2","Bruce Eskowitz","Vadio","750,000","venture","2012-11-01","Details",""
"3","PIE","VendScreen","32,000,000","venture","2016-01-25","Details","Exited"
"4","merrickhanna ventures","VendScreen","32,000,000","venture","2016-01-25","Details","Exited"
"5","PIE","Revisu","18,000","seed","2012-01-20","Details",""
"6","500 Startups","MoPix","50,000","seed","2011-10-01","Details",""
"7","Amplify.LA","Vadio","750,000","venture","2012-11-01","Details",""
"8","Data Collective","Cloudability","8,700,000","venture","2012-07-12","Details",""
"9","Mucker Capital","Vadio","2,000,000","seed","2014-08-14","Details",""
"10","Inspiration Ventures","Droplr","400,000","venture","2016-08-24","Details",""
"11","Pete Grillo","Cloudability","1,100,000","seed","2011-12-22","Details",""
"12","Portland Seed Fund","AppThwack","600,000","seed","2013-03-01","Details","Exited"
"13","Alliance of Angels","Droplr","259,999","seed","2014-05-05","Details",""
"14","Cascade Angels Fund","Outdoor Project","2,000,000","venture","2017-02-21","Details",""
"15","PIE","Code Scouts","","seed","2012-10-08","Details",""
"16","PIE","Vadio","18,000","seed","2012-10-08","Details",""
"17","Nitin Khanna","Cloudability","1,100,000","seed","2011-12-22","Details",""
"18","Techstars","Stand In","118,000","seed","2014-11-14","Details",""
"19","Foundry Group","Cloudability","24,000,000","venture","2016-06-06","Details",""
"20","Dean Gilbert","Vadio","750,000","venture","2012-11-01","Details",""
"21","PIE","DailyPath","","seed","2011-09-21","Details",""
"22","Portland Seed Fund","Vadio","750,000","venture","2012-11-01","Details",""
"23","RightVentures","Little Bird","","undisclosed","2011-11-01","Details","Exited"
"24","Seven Peaks Ventures","Droplr","478,517","seed","2013-10-18","Details",""
"25","Portland Seed Fund","Cloudability","","venture","2015-03-26","Details",""
"26","Portland Seed Fund","Cloudability","8,700,000","venture","2012-07-12","Details",""
"27","Jay Boberg","Vadio","750,000","venture","2012-11-01","Details",""
"28","PIE","Orchestrate","20,000","seed","2013-07-23","Details","Exited"
"29","Portland Seed Fund","Smart Mocha","","seed","2013-03-21","Details","Dead"
"30","PIE","MoPix","18,000","seed","2012-01-20","Details",""
