"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","The Difference Engine","Rock Control","20,000","seed","2010-03-01","Details",""
"2","Northstar Ventures","Tagorize","100,000","seed","2010-12-22","Details","Dead"
"3","AngelPad","Curated.By","","seed","2010-09-01","Details","Dead"
"4","The Difference Engine","CANDDI","20,000","seed","2010-03-01","Details",""
"5","Northstar Ventures","Recite","40,000","seed","2012-05-23","Details",""
"6","Northstar Ventures","Recite","100,000","undisclosed","2011-01-24","Details",""
"7","Northstar Ventures","CANDDI","100,000","seed","2011-03-03","Details",""
"8","The Difference Engine","Tagorize","20,000","seed","2010-04-01","Details","Dead"
"9","Northstar Ventures","CANDDI","49,000","seed","2011-12-13","Details",""
"10","Northstar Ventures","Recite","100,000","seed","2010-10-12","Details",""
"11","Northstar Ventures","Recite","225,000","undisclosed","2013-01-03","Details",""
"12","Northstar Ventures","Recite","200,000","seed","2016-06-09","Details",""
"13","Northstar Ventures","CANDDI","370,000","seed","2012-09-07","Details",""
