"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Austin Ventures","RunTitle","8,000,000","venture","2015-10-02","Details",""
"2","RockPort Capital Partners","DrillMap","6,500,000","venture","2013-08-07","Details",""
"3","Mercury Boy ltd","Skynet Labs","20,000","seed","2012-07-01","Details",""
"4","SURGE Accelerator","FuelMiner","","seed","2012-05-24","Details","Exited"
"5","Houston Angel Network","Meshify","50,000","venture","2014-10-01","Details","Exited"
"6","Houston Angel Network","Dynamo Micropower","1,000,000","convertible_note","2015-08-01","Details",""
"7","SURGE Accelerator","Waveseis","","seed","2013-02-21","Details",""
"8","Startupbootcamp","Skynet Labs","15,000","seed","2012-01-16","Details",""
"9","Start-Up Chile","Bractlet","40,000","seed","2012-02-13","Details",""
"10","iSELECT FUND","Bractlet","2,000,000","venture","2016-09-26","Details",""
"11","SURGE Accelerator","Bractlet","","seed","2013-02-21","Details",""
"12","GGM Capital","Optimitive","1,400,000","venture","2013-11-26","Details",""
"13","Deep Fork Capital","RunTitle","8,000,000","venture","2015-10-02","Details",""
"14","Houston Angel Network","Meshify","1,300,000","debt_financing","2016-06-29","Details","Exited"
"15","SURGE Accelerator","LowFoot","","seed","2012-05-24","Details",""
"16","ATX Seed Ventures","Bractlet","2,000,000","venture","2016-09-26","Details",""
"17","Mercury Fund","Meshify","1,300,000","debt_financing","2016-06-29","Details","Exited"
"18","SURGE Accelerator","DrillMap","","seed","2012-05-24","Details",""
"19","SURGE Accelerator","Revokom","","seed","2012-05-24","Details",""
"20","SOSV","Skynet Labs","50,000","seed","2012-11-28","Details",""
"21","SURGE Accelerator","WatrHub","","seed","2013-02-21","Details",""
"22","SOSV","Skynet Labs","80,000","seed","2013-05-01","Details",""
"23","ATX Seed Ventures","Bractlet","750,000","seed","2015-04-30","Details",""
"24","John Shaw","Bractlet","","angel","2016-11-11","Details",""
"25","Houston Angel Network","Bractlet","885,000","venture","2016-03-01","Details",""
"26","Austin Ventures","RunTitle","4,000,000","seed","2013-09-05","Details",""
"27","ATX Seed Ventures","Bractlet","885,000","venture","2016-03-01","Details",""
"28","Energy Foundry","Bractlet","750,000","seed","2015-04-30","Details",""
"29","Enterprise Ireland","Skynet Labs","50,000","seed","2012-11-28","Details",""
"30","Founders Fund","RunTitle","8,000,000","venture","2015-10-02","Details",""
"31","Ridgewood Capital","DrillMap","6,500,000","venture","2013-08-07","Details",""
"32","SURGE Accelerator","RunTitle","","seed","2013-02-21","Details",""
"33","SURGE Accelerator","Meshify","","seed","2013-02-21","Details","Exited"
"34","SURGE Accelerator","Optimitive","1,400,000","venture","2013-11-26","Details",""
"35","Start-Up Chile","Revokom","40,000","seed","2011-07-25","Details",""
"36","SURGE Accelerator","Pinnacle","","seed","2012-05-24","Details",""
"37","SURGE Accelerator","Skynet Labs","27,000","seed","2013-02-01","Details",""
"38","SURGE Accelerator","Dynamo Micropower","","seed","2013-02-21","Details",""
"39","iSELECT FUND","Bractlet","750,000","seed","2015-04-30","Details",""
"40","Houston Angel Network","Dynamo Micropower","25,000","venture","2014-07-01","Details",""
"41","ConocoPhillips","DrillMap","6,500,000","venture","2013-08-07","Details",""
"42","MassChallenge","Dynamo Micropower","50,000","seed","2012-10-23","Details",""
"43","SURGE Accelerator","Optimitive","","seed","2013-02-21","Details",""
"44","SURGE Accelerator","Advanced Seismic","","seed","2012-05-24","Details","Dead"
"45","SURGE Accelerator","Snugg Home","","seed","2012-05-24","Details",""
