"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Spark Capital","Panjo","1,600,000","seed","2013-07-23","Details",""
"2","Chung-Man Tam","Emailage","5,674,970","venture","2016-04-13","Details",""
"3","Fabrice Grinda","Panjo","4,600,000","venture","2015-11-12","Details",""
"4","Spark Capital","BloomNation","5,550,000","venture","2014-10-07","Details",""
"5","Chicago Ventures","BloomNation","5,550,000","venture","2014-10-07","Details",""
"6","Lerer Hippeau Ventures","Panjo","4,600,000","venture","2015-11-12","Details",""
"7","Anthem Venture Partners","Surf Air","8,000,000","venture","2014-08-07","Details",""
"8","First Round","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"9","Gil Elbaz","Surf Air","3,759,387","venture","2012-06-06","Details",""
"10","Farzad (Zod) Nazem","Emailage","5,674,970","venture","2016-04-13","Details",""
"11","Velos Partners","Surf Air","7,000,000","venture","2013-06-03","Details",""
"12","Marker","Younity","8,000,000","venture","2015-12-02","Details",""
"13","BDMI","Panjo","4,600,000","venture","2015-11-12","Details",""
"14","Chicago Ventures","BloomNation","1,650,000","seed","2013-10-24","Details",""
"15","The Raine Group","The Black Tux","10,000,000","venture","2015-01-21","Details",""
"16","Mucker Capital","Penango","","seed","2012-04-26","Details",""
"17","Dennis Phelps","Surf Air","8,000,000","venture","2014-08-07","Details",""
"18","RRE Ventures","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"19","Correlation Ventures","Laffster","750,000","seed","2012-10-24","Details",""
"20","Mucker Capital","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"21","Michael Liou","Laffster","750,000","seed","2012-10-24","Details",""
"22","BDMI","Panjo","1,600,000","seed","2013-07-23","Details",""
"23","Samer Hamadeh","Laffster","750,000","seed","2012-10-24","Details",""
"24","Velos Partners","Surf Air","8,000,000","venture","2014-08-07","Details",""
"25","The New York Times","Panjo","4,600,000","venture","2015-11-12","Details",""
"26","Mucker Capital","Panjo","4,600,000","venture","2015-11-12","Details",""
"27","Draper Associates","Younity","3,540,000","seed","2013-08-12","Details",""
"28","BoxGroup","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"29","PROfounders Capital","Younity","3,540,000","seed","2013-08-12","Details",""
"30","Tekton Ventures","Younity","3,540,000","seed","2013-08-12","Details",""
"31","Mucker Capital","ServiceTitan","","seed","2014-01-23","Details",""
"32","Bullpen Capital","Lifecrowd","5,000,000","venture","2012-04-19","Details",""
"33","Baroda Ventures","Surf Air","3,759,387","venture","2012-06-06","Details",""
"34","Crosscut Ventures","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"35","Ellen Levy","RocksBox","1,500,000","seed","2014-02-16","Details",""
"36","Wavemaker Partners","Surf Air","3,759,387","venture","2012-06-06","Details",""
"37","Patrick Eggen","Emailage","5,674,970","venture","2016-04-13","Details",""
"38","TriplePoint Capital","Surf Air","3,759,387","venture","2012-06-06","Details",""
"39","Mucker Capital","Laffster","750,000","seed","2012-10-24","Details",""
"40","Mucker Capital","Younity","3,540,000","seed","2013-08-12","Details",""
"41","Adam Nash","Laffster","750,000","seed","2012-10-24","Details",""
"42","First Round","The Black Tux","25,000,000","venture","2015-09-09","Details",""
"43","Sandra Perkins","RocksBox","1,500,000","seed","2014-02-16","Details",""
"44","Upfront Ventures","Retention Science","7,000,000","venture","2014-08-05","Details",""
"45","The Perkins Fund","RocksBox","8,700,000","venture","2016-03-01","Details",""
"46","Mucker Capital","BloomNation","1,650,000","seed","2013-10-24","Details",""
"47","Michael Scharff","Younity","3,540,000","seed","2013-08-12","Details",""
"48","Iconiq Capital","ServiceTitan","80,000,000","venture","2017-03-15","Details",""
"49","Tech Coast Angels","LeaseLock","","seed","2014-01-23","Details",""
"50","A.Capital Ventures","BloomNation","5,550,000","venture","2014-10-07","Details",""
"51","Yan-David Erlich","RocksBox","8,700,000","venture","2016-03-01","Details",""
"52","Mohr Davidow Ventures","Retention Science","7,000,000","venture","2014-08-05","Details",""
"53","Social Leverage","Laffster","750,000","seed","2012-10-24","Details",""
"54","Brad Jones","Younity","3,540,000","seed","2013-08-12","Details",""
"55","Mucker Capital","RocksBox","","seed","2013-01-16","Details",""
"56","Double M Partners","Retention Science","7,000,000","venture","2014-08-05","Details",""
"57","Rick J. Caruso","Surf Air","8,000,000","venture","2014-08-07","Details",""
"58","Raine Ventures","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"59","Gokul Rajaram","Emailage","5,674,970","venture","2016-04-13","Details",""
"60","Jared Leto","Surf Air","8,000,000","venture","2014-08-07","Details",""
"61","Structure Fund","Walla.by","1,100,000","seed","2012-08-30","Details","Exited"
"62","Spark Capital","BloomNation","1,650,000","seed","2013-10-24","Details",""
"63","Anthem Venture Partners","Surf Air","3,759,387","venture","2012-06-06","Details",""
"64","Prism Venture Management","Lifecrowd","5,000,000","venture","2012-04-19","Details",""
"65","White Oak Global Advisors","Surf Air","65,000,000","debt_financing","2014-08-07","Details",""
"66","Spark Capital","Panjo","4,600,000","venture","2015-11-12","Details",""
"67","Base Ventures","Surf Air","8,000,000","venture","2014-08-07","Details",""
"68","Roham Gharegozlou","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"69","Howard Lindzon","Laffster","750,000","seed","2012-10-24","Details",""
"70","Bullpen Capital","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"71","Mucker Capital","Walla.by","1,100,000","seed","2012-08-30","Details","Exited"
"72","Lightbank","Lifecrowd","5,000,000","venture","2012-04-19","Details",""
"73","Lowercase Capital","Younity","3,540,000","seed","2013-08-12","Details",""
"74","First Round","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"75","Mucker Capital","GetMeRated","","seed","2013-01-16","Details",""
"76","Rothenberg Ventures","GetMeRated","","seed","2013-12-01","Details",""
"77","Lion Wells Capital","Walla.by","1,100,000","seed","2012-08-30","Details","Exited"
"78","Velos Partners","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"79","Mucker Capital","BloomNation","5,550,000","venture","2014-10-07","Details",""
"80","Mucker Capital","Spout","","seed","2014-01-23","Details",""
"81","Wipro Technologies","Emailage","5,674,970","venture","2016-04-13","Details",""
"82","Karlin Ventures","Walla.by","1,100,000","seed","2012-08-30","Details","Exited"
"83","Andy Rankin","Retention Science","2,500,000","seed","2013-08-29","Details",""
"84","Structure Capital","Surf Air","","seed","2012-04-26","Details",""
"85","Double M Partners","Emailage","5,674,970","venture","2016-04-13","Details",""
"86","KohFounders","Retention Science","","venture","2012-06-12","Details",""
"87","Mucker Capital","LeaseLock","","seed","2014-01-23","Details",""
"88","Mucker Capital","Retention Science","2,500,000","seed","2013-08-29","Details",""
"89","ff Venture Capital","Surf Air","8,000,000","venture","2014-08-07","Details",""
"90","Matrix Partners","RocksBox","1,500,000","seed","2014-02-16","Details",""
"91","Baroda Ventures","Retention Science","7,000,000","venture","2014-08-05","Details",""
"92","Wavemaker Partners","Laffster","750,000","seed","2012-10-24","Details",""
"93","Outlier Ventures","RocksBox","8,700,000","venture","2016-03-01","Details",""
"94","BBG Ventures","RocksBox","1,500,000","seed","2014-02-16","Details",""
"95","Forerunner Ventures","Retention Science","750,000","venture","2016-10-27","Details",""
"96","Luma Launch","LeaseLock","1,000,000","seed","2016-12-16","Details",""
"97","American Family Insurance","LeaseLock","1,000,000","seed","2016-12-16","Details",""
"98","Christopher Grey","Laffster","750,000","seed","2012-10-24","Details",""
"99","Mohr Davidow Ventures","Retention Science","2,500,000","seed","2013-08-29","Details",""
"100","Pritzker Group Venture Capital","Retention Science","7,000,000","venture","2014-08-05","Details",""
"101","Forerunner Ventures","Retention Science","2,500,000","seed","2013-08-29","Details",""
"102","Forerunner Ventures","Retention Science","7,000,000","venture","2014-08-05","Details",""
"103","WI Harper Group","Walla.by","1,100,000","seed","2012-08-30","Details","Exited"
"104","Eytan Elbaz","Surf Air","3,759,387","venture","2012-06-06","Details",""
"105","Chris Dixon","BloomNation","5,550,000","venture","2014-10-07","Details",""
"106","Deep Nishar","Emailage","5,674,970","venture","2016-04-13","Details",""
"107","Menlo Ventures","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"108","CrunchFund","BloomNation","1,650,000","seed","2013-10-24","Details",""
"109","FF Angel LLC","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"110","Lerer Hippeau Ventures","Panjo","1,600,000","seed","2013-07-23","Details",""
"111","Founders Fund","Walla.by","1,100,000","seed","2012-08-30","Details","Exited"
"112","Menlo Ventures","The Black Tux","25,000,000","venture","2015-09-09","Details",""
"113","Version One Ventures","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"114","Sonny Singh","Laffster","750,000","seed","2012-10-24","Details",""
"115","Founder Collective","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"116","Mucker Capital","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"117","Scott Banister","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"118","Mesa Ventures","Panjo","4,600,000","venture","2015-11-12","Details",""
"119","Mucker Capital","Instacanv.as","","undisclosed","2011-12-31","Details",""
"120","Social Starts","GetMeRated","","seed","2013-12-01","Details",""
"121","Crosslink Capital","Younity","3,540,000","seed","2013-08-12","Details",""
"122","Mucker Capital","Lifecrowd","","seed","2012-04-26","Details",""
"123","Lerer Ventures","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"124","Andreessen Horowitz","BloomNation","1,650,000","seed","2013-10-24","Details",""
"125","KEC Ventures","RocksBox","8,700,000","venture","2016-03-01","Details",""
"126","Baroda Ventures","Lifecrowd","5,000,000","venture","2012-04-19","Details",""
"127","The Perkins Fund","RocksBox","1,500,000","seed","2014-02-16","Details",""
"128","Felicis Ventures","Emailage","5,674,970","venture","2016-04-13","Details",""
"129","Menlo Ventures","The Black Tux","10,000,000","venture","2015-01-21","Details",""
"130","Bessemer Venture Partners","ServiceTitan","18,955,000","venture","2015-06-16","Details",""
"131","Brian Lee","Younity","3,540,000","seed","2013-08-12","Details",""
"132","Jeff Stibel","Surf Air","3,759,387","venture","2012-06-06","Details",""
"133","Chris Williams","Laffster","750,000","seed","2012-10-24","Details",""
"134","Mesa Ventures","Panjo","1,600,000","seed","2013-07-23","Details",""
"135","CrunchFund","BloomNation","5,550,000","venture","2014-10-07","Details",""
"136","Greylock Partners","Laffster","750,000","seed","2012-10-24","Details",""
"137","Rick Caruso","Surf Air","3,759,387","venture","2012-06-06","Details",""
"138","Kamran Pourzanjani","Younity","3,540,000","seed","2013-08-12","Details",""
"139","Marker","Younity","8,000,000","venture","2015-02-02","Details",""
"140","Parallel Entertainment","Laffster","750,000","seed","2012-10-24","Details",""
"141","Jared Leto","Surf Air","3,759,387","venture","2012-06-06","Details",""
"142","Mucker Capital","MarkedUp","","seed","2013-01-16","Details","Dead"
"143","Paradigm Agency","Laffster","750,000","seed","2012-10-24","Details",""
"144","Mucker Capital","Panjo","","seed","2013-01-16","Details",""
"145","Mucker Capital","Verifico","","seed","2014-01-23","Details",""
"146","Mucker Capital","OttoLikes Labs","","seed","2012-04-26","Details","Dead"
"147","Mucker Capital","Surf Air","","seed","2012-04-26","Details",""
"148","First Round","The Black Tux","10,000,000","venture","2015-01-21","Details",""
"149","Mike Walsh","Surf Air","3,759,387","venture","2012-06-06","Details",""
"150","Mucker Capital","Emailage","5,674,970","venture","2016-04-13","Details",""
