"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Danny Hadar","Evolvero","900,000","seed","2012-05-15","Details",""
"2","Explore. Dream. Discover.","RotaryView","","seed","2013-02-01","Details","Exited"
"3","PLUS Ventures","RotaryView","","seed","2013-02-01","Details","Exited"
"4","Microsoft Accelerator - Tel Aviv","Evolvero","900,000","seed","2012-05-15","Details",""
"5","Peregrine Ventures","Evolvero","900,000","seed","2012-05-15","Details",""
"6","Microsoft Accelerator Tel Aviv","Twtrland","500,000","seed","2012-02-01","Details",""
"7","Microsoft Accelerator Tel Aviv","AppsFlyer","","seed","2012-09-15","Details",""
"8","7wire Ventures","MediSafe","6,000,000","venture","2015-01-07","Details",""
"9","lool ventures","MediSafe","14,500,000","venture","2017-03-01","Details",""
"10","Magma Venture Partners","AppsFlyer","20,000,000","venture","2015-01-20","Details",""
"11","Deutsche Telekom Capital Partners","AppsFlyer","56,000,000","venture","2017-01-17","Details",""
"12","Pitango Venture Capital","MediSafe","14,500,000","venture","2017-03-01","Details",""
"13","GIG","Twtrland","1,500,000","venture","2015-06-29","Details",""
"14","Microsoft Accelerator","AppsFlyer","20,000,000","venture","2015-01-20","Details",""
"15","Microsoft Ventures","RotaryView","","venture","2015-03-09","Details","Exited"
"16","7wire Ventures","MediSafe","14,500,000","venture","2017-03-01","Details",""
"17","Pitango Venture Capital","MediSafe","6,000,000","venture","2015-01-07","Details",""
"18","Rittenhouse Ventures","AppsFlyer","20,000,000","venture","2015-01-20","Details",""
"19","Eyal Gura","MediSafe","1,000,000","seed","2013-09-23","Details",""
"20","Merck Ventures","MediSafe","14,500,000","venture","2017-03-01","Details",""
"21","Microsoft Accelerator","ModuBiz","","seed","2012-09-15","",""
"22","Rittenhouse Ventures","AppsFlyer","7,100,000","venture","2014-03-05","Details",""
"23","Yadin Kaufmann","MediSafe","1,000,000","seed","2013-09-23","Details",""
"24","Octopus Ventures","MediSafe","14,500,000","venture","2017-03-01","Details",""
"25","Pitango Venture Capital","AppsFlyer","20,000,000","venture","2015-01-20","Details",""
"26","TMT Investments","Twtrland","1,500,000","venture","2015-06-29","Details",""
"27","Magma Venture Partners","AppsFlyer","7,100,000","venture","2014-03-05","Details",""
"28","Eight Roads Ventures","AppsFlyer","56,000,000","venture","2017-01-17","Details",""
"29","TriVentures","MediSafe","6,000,000","venture","2015-01-07","Details",""
"30","Qualcomm Ventures","MediSafe","14,500,000","venture","2017-03-01","Details",""
"31","lool ventures","MediSafe","6,000,000","venture","2015-01-07","Details",""
"32","Pitango Venture Capital","AppsFlyer","7,100,000","venture","2014-03-05","Details",""
"33","TriVentures","MediSafe","1,000,000","seed","2013-09-23","Details",""
"34","Microsoft Accelerator Tel Aviv","MediSafe","","seed","2012-05-15","Details",""
"35","TriVentures","MediSafe","14,500,000","venture","2017-03-01","Details",""
"36","Magma Venture Partners","AppsFlyer","","seed","2012-09-15","Details",""
"37","Goldman Sachs","AppsFlyer","56,000,000","venture","2017-01-17","Details",""
"38","AltaIR Capital","Twtrland","1,500,000","venture","2015-06-29","Details",""
"39","Pitango Venture Capital","AppsFlyer","56,000,000","venture","2017-01-17","Details",""
"40","Microsoft Accelerator","MediSafe","6,000,000","venture","2015-01-07","Details",""
"41","Eyal Gura","AppsFlyer","7,100,000","venture","2014-03-05","Details",""
"42","Qumra Capital","AppsFlyer","56,000,000","venture","2017-01-17","Details",""
"43","Rutledge Vine Capital","Evolvero","900,000","seed","2012-05-15","Details",""
"44","Microsoft Accelerator - Tel Aviv","RotaryView","","seed","2012-09-06","Details","Exited"
"45","Yair Schindel","MediSafe","1,000,000","seed","2013-09-23","Details",""
"46","Magma Venture Partners","AppsFlyer","56,000,000","venture","2017-01-17","Details",""
"47","2B Angels","RotaryView","","seed","2013-02-01","Details","Exited"
"48","lool ventures","MediSafe","1,000,000","seed","2013-09-23","Details",""
"49","Eight Roads Ventures","AppsFlyer","20,000,000","venture","2015-01-20","Details",""
"50","Rutledge Vine Capital","RotaryView","","seed","2014-06-01","Details","Exited"
"51","Microsoft Ventures","Evolvero","","venture","2014-01-22","Details",""
"52","Microsoft Ventures","Evento","","venture","2012-09-01","Details",""
