"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Angels Den","Fliplet","500,000","seed","2015-04-25","Details",""
"2","Heronwood Investments","Cherry Bird","50,000","seed","2012-05-01","Details",""
"3","Oxygen Accelerator","Stylect","30,000","seed","2013-10-01","Details",""
"4","500 Startups","Stylect","125,000","seed","2016-05-16","Details",""
"5","Forward Partners","Stylect","500,000","seed","2014-05-01","Details",""
"6","Ben Wynne-Simmons","Fliplet","500,000","seed","2015-04-25","Details",""
"7","Oxygen Accelerator","UpCloo","30,000","seed","2012-10-01","Details",""
"8","Oxygen Accelerator","Carbon Analytics","32,000","seed","2013-11-26","Details",""
"9","Angels Den","Stylect","25,000","seed","2015-06-01","Details",""
"10","Oxygen Accelerator","Dialective","32,500","seed","2013-10-01","Details","Dead"
"11","Angels Den","Stylect","645,000","seed","2015-12-01","Details",""
"12","Angels Den","Lowdown","103,622","angel","2014-09-01","Details",""
"13","Angels Den","Stylect","100,000","seed","2015-01-01","Details",""
"14","Ascension Ventures Limited","Hobzy","250,000","seed","2013-08-30","Details",""
"15","Angels Den","Lowdown","160,000","angel","2014-01-10","Details",""
"16","Oxygen Accelerator","sedicii","35,000","seed","2013-11-09","Details",""
"17","Oxygen Accelerator","Cherry Bird","18,000","seed","2013-10-01","Details",""
