"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","SOSV","Quitbit","105,000","seed","2014-01-08","Details",""
"2","Amino Capital","Darma","","venture","2014-09-22","Details",""
"3","SOSV","Yeelink","","seed","2013-08-31","Details",""
"4","SOSV","Rational Robotics","","convertible_note","2015-01-13","Details",""
"5","Hax","Yeelink","25,000","venture","2013-01-17","Details",""
"6","Hax","Helios","","seed","2015-02-27","Details",""
"7","SOSV","Rational Robotics","","venture","2013-11-12","Details",""
"8","HAXLR8R","WearPoint","25,000","seed","2013-01-01","Details",""
"9","Y Combinator","Nomiku","120,000","seed","2014-12-01","Details",""
"10","HAXLR8R","Roadie Tuner","25,000","seed","2014-05-12","Details",""
"11","HAXLR8R","Loccie","25,000","venture","2012-02-01","Details",""
"12","SOSV","Helios","","venture","2015-09-25","Details",""
"13","Betaspring","Quitbit","20,000","seed","2013-11-01","Details",""
"14","HAXLR8R","Everpurse","1,000,000","seed","2014-05-18","Details",""
"15","Hax","Molecule Synth","70,000","venture","2013-01-31","Details",""
"16","Sequoia Capital","Makeblock","6,000,000","venture","2014-12-31","Details",""
"17","Seven Peaks Ventures","Kindara","5,300,000","seed","2015-08-19","Details",""
"18","Drummond Road Capital","Kindara","1,250,000","venture","2014-11-04","Details",""
"19","Vast Ventures","Kindara","1,250,000","venture","2014-11-04","Details",""
"20","SOSV","Makeblock","","venture","2015-09-20","Details",""
"21","SOSV","Makeblock","","seed","2013-09-30","Details",""
"22","SOSV","Kindara","5,300,000","seed","2015-08-19","Details",""
"23","SOSV","Kindara","350,000","convertible_note","2012-10-01","Details",""
"24","Service Provider Capital","Kindara","5,300,000","seed","2015-08-19","Details",""
"25","SOSV","Vigo","25,000","seed","2013-07-16","Details",""
"26","SOSV","Kindara","1,250,000","venture","2014-11-04","Details",""
"27","SOSV","Nomiku","","venture","2012-12-19","Details",""
"28","SOSV","Syrmo","","seed","2013-12-20","Details",""
"29","SOSV","LightUp","","venture","2013-02-01","Details",""
