"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Start Engine","ThrdPlace","","seed","2012-03-21","Details",""
"2","Avinash Karnani","Flinja","","seed","2013-10-13","Details",""
"3","Michael Liou","Gonnabe","200,000","seed","2013-02-10","Details",""
"4","Juniper Networks","Enplug","2,500,000","seed","2014-04-17","Details",""
"5","Start Engine","Fad.io","","seed","2012-06-29","Details","Dead"
"6","Idealab","Enplug","2,500,000","seed","2014-04-17","Details",""
"7","Howard Marks","Flinja","","seed","2013-10-13","Details",""
"8","Emaan Amidi","Gonnabe","200,000","seed","2013-02-10","Details",""
"9","Tony Chen","Gonnabe","200,000","seed","2013-02-10","Details",""
"10","Start Engine","MergeLocal","","seed","2012-06-29","Details","Dead"
"11","Karlin Ventures","Pagewoo","1,200,000","seed","2013-08-13","Details",""
"12","TenOneTen Ventures","Pagewoo","1,200,000","seed","2013-08-13","Details",""
"13","Behzad Kianmahd","Gonnabe","200,000","seed","2013-02-10","Details",""
"14","Start Engine","Pronoise","","seed","2012-03-21","Details","Dead"
"15","Bill Gross","Enplug","2,500,000","seed","2014-04-17","Details",""
"16","zPark Venture","Enplug","2,500,000","seed","2014-04-17","Details",""
"17","Start Engine","Hypemarks","20,000","seed","2011-12-02","Details",""
"18","DominateFund","Enplug","2,500,000","seed","2014-04-17","Details",""
"19","Troy Carter","Enplug","2,500,000","seed","2014-04-17","Details",""
"20","Start Engine","Overhead.fm","","seed","2012-09-21","Details",""
"21","Walt Winshall","Flinja","","seed","2013-10-13","Details",""
"22","Start Engine","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"23","Start Engine","Enplug","1,200,000","seed","2012-09-21","Details",""
"24","Amidi Group","Enplug","2,500,000","seed","2014-04-17","Details",""
"25","David Cohen","Enplug","2,500,000","seed","2014-04-17","Details",""
"26","Rasoul Oskouy","Enplug","2,500,000","seed","2014-04-17","Details",""
"27","VoiVoda Ventures","Gonnabe","200,000","seed","2013-02-10","Details",""
"28","Start Engine","Afterschool.me","","seed","2012-09-21","Details",""
"29","Justin Caldbeck","Enplug","2,500,000","seed","2014-04-17","Details",""
"30","Chris Hameetman","Gonnabe","200,000","seed","2013-02-10","Details",""
"31","StartEngine","WeLink","","seed","2016-04-01","Details",""
"32","Michael Kianmahd","Gonnabe","200,000","seed","2013-02-10","Details",""
"33","Lighter Capital","WeLink","100,000","debt_financing","2016-12-29","Details",""
"34","Alchemist Accelerator","WeLink","","seed","2016-04-01","Details",""
"35","University of Southern California","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"36","Start Engine","Pagewoo","","seed","2012-03-21","Details",""
"37","Paul Kessler","Flinja","","seed","2013-10-13","Details",""
"38","Ross Levinsohn","Enplug","2,500,000","seed","2014-04-17","Details",""
"39","Oaktree Capital Management","Enplug","2,500,000","seed","2014-04-17","Details",""
"40","Jonathan Mi","Flinja","","seed","2013-10-13","Details",""
"41","Techstars","Flinja","","seed","2013-10-13","Details",""
"42","Howard Marks","Enplug","2,500,000","seed","2014-04-17","Details",""
"43","Start Engine","BetterYou","","seed","2012-06-29","Details",""
"44","Fred Smith","Flinja","","seed","2013-10-13","Details",""
"45","Start Engine","FitKit","","seed","2012-09-21","Details",""
"46","Start Engine","MyRight","","seed","2012-09-21","Details",""
"47","Kaplan Ventures","Flinja","","seed","2013-10-13","Details",""
"48","AFSquare","Enplug","1,200,000","seed","2012-09-21","Details",""
"49","Hossein Eslambolchi","Enplug","2,500,000","seed","2014-04-17","Details",""
"50","Start Engine","Rivono","","seed","2012-06-29","Details","Dead"
"51","Paul Kessler","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"52","Start Engine","Fromography","","seed","2012-06-29","Details",""
"53","Howard Marks","Where My Dogs At","106,000","seed","2014-01-26","Details",""
"54","Start Engine","KokoChi","","seed","2012-06-29","Details",""
"55","Plug & Play Ventures","Enplug","1,200,000","seed","2012-09-21","Details",""
"56","Rahim Amidi","Gonnabe","200,000","seed","2013-02-10","Details",""
"57","Start Engine","Gonnabe","","seed","2012-03-21","Details",""
