"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Sasha Markvo","Solu","1,300,000","seed","2015-08-17","Details",""
"2","Vladimir Ashurkov","Solu","1,300,000","seed","2015-08-17","Details",""
"3","Timo Kiravuo","Solu","1,300,000","seed","2015-08-17","Details",""
"4","Buildit Accelerator","Comfee","","seed","2014-09-29","Details",""
"5","EyeFocus Accelerator","BlindSense","8,106","seed","2014-08-16","Details",""
"6","Prototron","BlindSense","8,106","seed","2014-08-16","Details",""
"7","Buildit Accelerator","Solu","1,300,000","seed","2015-08-17","Details",""
"8","Buildit Accelerator","KOOK","10,000","seed","2014-09-15","Details",""
"9","Otto Hilska","Solu","1,300,000","seed","2015-08-17","Details",""
"10","Highway1","Comfee","50,000","convertible_note","2015-09-30","Details",""
"11","Carrot","Comfee","","non_equity_assistance","2015-09-01","Details",""
"12","KSVFinland","Solu","1,300,000","seed","2015-08-17","Details",""
"13","Prototron","Heelosophy","1,380","seed","2014-04-03","Details",""
