"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Technology Development Fund","Designing Reality","9,678,000","grant","2013-03-01","Details","Dead"
"2","Technology Development Fund","Eski Tech","10,000,000","grant","2014-03-01","Details","Dead"
"3","Technology Development Fund","Activity Stream","12,500,000","grant","2015-03-01","Details",""
"4","Frumtak Investment Fund","Activity Stream","2,100,000","seed","2015-12-10","Details",""
"5","Technology Development Fund","Eski Tech","10,000,000","grant","2016-03-01","Details","Dead"
"6","Landsbankinn","Herberia","1,000,000","grant","2015-01-31","Details",""
"7","Technology Development Fund","Eski Tech","10,000,000","grant","2012-03-01","Details","Dead"
"8","Seed Capital","Activity Stream","2,100,000","seed","2015-12-10","Details",""
"9","Technology Development Fund","Designing Reality","9,967,000","grant","2012-03-01","Details","Dead"
"10","Technology Development Fund","Activity Stream","12,500,000","grant","2016-03-01","Details",""
"11","Technology Development Fund","Activity Stream","12,500,000","grant","2014-03-01","Details",""
"12","Arion Banki","WhenGone","160,000","seed","2013-08-20","Details","Dead"
"13","GMT ehf","Mymxlog","289,256","grant","2013-06-01","Details",""
"14","Arion Banki","GuitarParty","16,500","seed","2012-07-30","Details",""
"15","Einar G Gudmundsson","WhenGone","16,000","seed","2012-06-06","Details","Dead"
