"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Orankl","","seed","2014-01-01","Details",""
"2","Y Combinator","Unbabel","1,500,000","seed","2015-05-02","Details",""
"3","Techstars","Attentive","120,000","seed","2016-02-29","Details",""
"4","Y Combinator","Unbabel","5,000,000","venture","2016-10-31","Details",""
"5","Seedcamp","Codacy","1,100,000","seed","2015-10-16","Details",""
"6","Techstars","doDOC","420,000","venture","2015-11-05","Details",""
"7","Techstars","Attentive","100,000","grant","2015-12-10","Details",""
"8","Y Combinator","Orankl","150,150","seed","2014-08-01","Details",""
