"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Farallon Research","Ionic Security","2,040,000","venture","2012-05-24","Details",""
"2","Raghu Kakarala","Badgy","350,000","seed","2012-07-11","Details",""
"3","Farallon Research","Ionic Security","9,400,000","venture","2013-04-19","Details",""
"4","Social Investors","Ionic Security","2,040,000","venture","2012-05-24","Details",""
"5","United Parcel Service","eCommHub","2,700,000","venture","2013-09-16","Details",""
"6","Ron Carmichael","SportsCrunch","","angel","2012-01-01","Details",""
"7","Flashpoint at Georgia Tech","synapp.io","20,000","seed","2013-05-01","Details",""
"8","Andreessen Horowitz","Pindrop Security","1,000,000","seed","2012-05-01","Details",""
"9","Terawatt Ventures","Ionic Security","2,040,000","venture","2012-05-24","Details",""
"10","Imlay Investments","SportsCrunch","","angel","2011-09-01","Details",""
"11","Redpoint","Pindrop Security","30,000,000","venture","2015-02-18","Details",""
"12","TechOperators","Ionic Security","9,400,000","venture","2013-04-19","Details",""
"13","GV","Ionic Security","25,500,000","venture","2014-02-20","Details",""
"14","Felicis Ventures","Pindrop Security","30,000,000","venture","2015-02-18","Details",""
"15","Microsoft Ventures","Physihome","","venture","2014-08-11","Details",""
"16","GRA Venture Fund, LLC","Pindrop Security","1,000,000","seed","2012-05-01","Details",""
"17","Goldman Sachs","Ionic Security","45,000,000","venture","2016-06-01","Details",""
"18","Citi Ventures","Pindrop Security","30,000,000","venture","2015-02-18","Details",""
"19","Sigma Partners","Pindrop Security","1,000,000","seed","2012-05-01","Details",""
"20","Icon Ventures","Ionic Security","45,000,000","venture","2016-06-01","Details",""
"21","Microsoft Accelerator - Tel Aviv","Physihome","","seed","2013-04-24","Details",""
"22","Sig Mosley","SportsCrunch","","angel","2011-09-01","Details",""
"23","Brookline Venture Partners","Ionic Security","9,400,000","venture","2013-04-19","Details",""
"24","Flashpoint Investments LLC","n4md (Visit)","25,000","seed","2011-09-15","Details",""
"25","Hayman Capital","Ionic Security","45,000,000","venture","2016-06-01","Details",""
"26","Raj Choudhury","Badgy","350,000","seed","2012-07-11","Details",""
"27","GV","Pindrop Security","80,799,996","venture","2016-08-08","Details",""
"28","Andreessen Horowitz","Pindrop Security","11,000,000","venture","2013-06-19","Details",""
"29","TTV Capital","Springbot","6,000,000","venture","2015-06-05","Details",""
"30","Google Capital","Pindrop Security","80,799,996","venture","2016-08-08","Details",""
"31","Silicon Valley Bank","Springbot","6,000,000","venture","2015-06-05","Details",""
"32","Amazon","Ionic Security","45,000,000","venture","2016-06-01","Details",""
"33","Mosley Ventures","eCommHub","2,700,000","venture","2013-09-16","Details",""
"34","UPS Strategic Enterprise Fund","eCommHub","2,700,000","venture","2013-09-16","Details",""
