"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Ark Challenge","Overwatch","170,000","seed","2013-09-01","Details",""
"2","Ark Challenge","Overwatch","","seed","2013-09-03","Details",""
"3","Arkansas Venture Capital Investment Trust","Agricultural Food Systems","15,000","seed","2013-03-20","Details",""
"4","Ark Challenge","Sooligan","","seed","2012-11-08","Details",""
"5","Ark Challenge","Skosay","50,000","seed","2014-08-01","Details",""
"6","Start-Up Chile","CayMay Education","40,000","seed","2012-12-04","Details",""
"7","XCelerate Capital","Tagless","250,000","seed","2015-02-16","Details",""
"8","Ark Challenge","Agricultural Food Systems","18,333","seed","2012-08-20","Details",""
"9","Start-Up Chile","EpicPledge","40,000","seed","2012-02-09","Details",""
"10","Ark Challenge","Info Assembly","20,000","seed","2013-07-10","Details",""
"11","Ark Challenge","Langhar","","seed","2013-09-03","Details","Dead"
"12","Ark Challenge","EpicPledge","","seed","2012-11-08","Details",""
"13","Ark Challenge","Info Assembly","150,000","seed","2014-01-20","Details",""
"14","Ark Challenge","Streamix","18,333","seed","2012-11-08","Details",""
"15","Ark Challenge","CayMay Education","","seed","2012-11-08","Details",""
