"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Bootup Labs","LexPublica","50,000","seed","2009-06-01","",""
"2","Bootup Labs","Foodtree","","seed","2009-01-01","",""
"3","Steve Olechowski","Summify","","angel","2011-03-30","Details","Exited"
"4","Bootup Labs","Summify","","seed","2010-03-18","Details","Exited"
"5","Bootup Labs","Let's Go For Dinner","140,000","seed","2009-09-01","Details",""
"6","Jim Fletcher","Summify","","angel","2011-03-30","Details","Exited"
"7","Bootup Labs","DimeRocker","150,000","seed","2009-06-01","Details",""
"8","Bootup Labs","Compass Engine","","seed","2009-01-01","Details","Dead"
"9","Boris Wertz","Summify","","angel","2011-03-30","Details","Exited"
"10","Accel Partners","Summify","","angel","2011-03-30","Details","Exited"
"11","Brent Holliday","Summify","","angel","2011-03-30","Details","Exited"
"12","Stewart Butterfield","Summify","","angel","2011-03-30","Details","Exited"
"13","Mike Edwards","Summify","","angel","2011-03-30","Details","Exited"
"14","W Media Ventures","Summify","","seed","2010-08-24","Details","Exited"
"15","Rob Glaser","Summify","","angel","2011-03-30","Details","Exited"
