"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Solidus Company","Contigo Financial","15,000","seed","2012-08-27","Details","Exited"
"2","Jumpstart Foundry","Contigo Financial","15,000","seed","2012-08-27","Details","Exited"
"3","Solidus Company","RentStuff","660,000","seed","2012-04-12","Details","Exited"
"4","Voyent Partners","NextGxDx","2,949,029","venture","2014-03-05","Details",""
"5","Jumpstart Foundry","splitsecnd","6,285,000","undisclosed","2015-12-01","Details",""
"6","TriStar Technology Ventures","Evermind","60,000","seed","2013-06-01","Details",""
"7","Launch Tennessee","Evermind","3,740,114","venture","2015-02-19","Details",""
"8","Solidus","Evermind","3,740,114","venture","2015-02-19","Details",""
"9","JumpStart Foundry","Meevl","15,000","seed","2011-05-01","Details",""
"10","Launch Tennessee","splitsecnd","517,000","seed","2013-07-01","Details",""
"11","JumpStart Foundry","RentStuff","15,000","seed","2011-05-05","Details","Exited"
"12","Jumpstart Foundry","NextGxDx","","seed","2010-01-01","Details",""
"13","JumpStart Foundry","Daio","","seed","2011-01-01","Details",""
"14","JumpStart Foundry","SourceYourCity","","seed","2012-06-29","Details",""
"15","Nashville Capital Network, Investment Arm","NextGxDx","2,949,029","venture","2014-03-05","Details",""
"16","JumpStart Foundry","iAgree","","seed","2011-05-06","Details",""
"17","Chattanooga Renaissance Fund","RentStuff","660,000","seed","2012-04-12","Details","Exited"
"18","Solidus Company","Evermind","60,000","seed","2013-06-01","Details",""
"19","Launch Tennessee","splitsecnd","6,285,000","undisclosed","2015-12-01","Details",""
"20","Jumpstart Foundry","splitsecnd","517,000","seed","2013-07-01","Details",""
"21","NueCura Partners, LLC","NextGxDx","2,949,029","venture","2014-03-05","Details",""
"22","Mountain Group Capital","splitsecnd","6,285,000","undisclosed","2015-12-01","Details",""
"23","TriStar Technology Ventures","Evermind","3,740,114","venture","2015-02-19","Details",""
"24","Solidus Company","The Skillery","15,000","seed","2012-08-24","Details",""
"25","JumpStart Foundry","The Skillery","15,000","seed","2012-08-24","Details",""
