"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","WME","Battlefy","1,300,000","seed","2014-01-14","Details",""
"2","Wavemaker Partners","Fanbread","800,000","seed","2014-05-01","Details","Exited"
"3","Mike Jones","RadPad","2,000,000","seed","2014-08-12","Details","Exited"
"4","Wonder Ventures","hellotech","2,500,000","seed","2015-01-27","Details",""
"5","Amplify.LA","hellotech","12,500,000","venture","2015-09-16","Details",""
"6","Alan Stern","Invested.in","830,000","seed","2012-11-01","Details",""
"7","Expansion Venture Capital","hellotech","2,500,000","seed","2015-01-27","Details",""
"8","Social Starts","Weaver Labs","","seed","2014-12-01","Details",""
"9","IDG Ventures USA","AlphaDraft","5,000,000","seed","2015-05-19","Details","Exited"
"10","Amplify.LA","20Jeans","","seed","2013-04-04","Details",""
"11","Wavemaker Partners","20Jeans","1,000,000","seed","2013-04-18","Details",""
"12","George Rose","RadPad","600,000","seed","2013-11-06","Details","Exited"
"13","Social Leverage","RadPad","600,000","seed","2013-11-06","Details","Exited"
"14","Josh Pyatt","Squabbler","","seed","2013-02-15","Details",""
"15","Christopher Grey","Invested.in","830,000","seed","2012-11-01","Details",""
"16","Terry Kay","Invested.in","830,000","seed","2012-11-01","Details",""
"17","Tom McInerney","Look.io","","seed","2012-01-01","Details","Exited"
"18","Amplify.LA","Battlefy","200,000","angel","2012-11-01","Details",""
"19","Paige Craig","Stacksocial","800,000","seed","2012-07-24","Details",""
"20","Post Investment Group","RadPad","1,000,000","seed","2014-03-18","Details","Exited"
"21","NHN","sensay","4,500,000","seed","2016-08-02","Details",""
"22","Valence Ventures","Vadio","8,000,000","venture","2015-05-12","Details",""
"23","Michael Huffington","RadPad","2,000,000","seed","2014-08-12","Details","Exited"
"24","Alex Bard","Bitium","2,400,000","seed","2013-04-17","Details",""
"25","Wavemaker Partners","Invested.in","880,000","venture","2012-01-19","Details",""
"26","Amplify.LA","sensay","1,500,000","seed","2015-01-05","Details",""
"27","Drummond Road Capital","sensay","1,500,000","seed","2015-01-05","Details",""
"28","Dennis Phelps","Affinity Networks","500,000","seed","2014-02-20","Details",""
"29","Wonder Ventures","sensay","1,500,000","seed","2015-01-05","Details",""
"30","Amplify.LA","AlphaDraft","","seed","2015-02-01","Details","Exited"
"31","Dennis Phelps","TheBouqs","1,100,000","seed","2013-06-25","Details",""
"32","HIGHLINEvc","Battlefy","200,000","angel","2012-11-01","Details",""
