"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Seedrocket","Kantox","6,400,000","venture","2014-02-10","Details",""
"2","Techstars","NoviCap","1,700,000","seed","2015-09-23","Details",""
"3","Techstars","SketchFab","7,000,000","venture","2015-06-16","Details",""
"4","Seedrocket","NoviCap","1,700,000","seed","2015-09-23","Details",""
"5","i/o ventures","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"6","Y Combinator","Wallarm","2,300,000","venture","2016-12-12","Details",""
"7","Y Combinator","Xfers","2,500,000","seed","2016-01-06","Details",""
"8","Le Camping","Jellynote","800,000","seed","2017-03-14","Details",""
"9","Y Combinator","Deako","3,500,000","venture","2016-06-30","Details",""
"10","Y Combinator","Flirtey","","venture","2015-09-07","Details",""
"11","AngelPad","TapFwd","3,000,000","seed","2016-10-04","Details",""
"12","Le Camping","Jellynote","1,400,000","seed","2014-05-01","Details",""
"13","Techstars","Streamroot","2,500,000","seed","2015-12-10","Details",""
"14","Le Camping","Sketchfab","7,000,000","venture","2015-06-16","Details",""
"15","Techstars","Streamroot","2,500,000","seed","2017-06-01","Details",""
"16","Startmate","Flirtey","","venture","2015-09-07","Details",""
"17","Startmate","Bugcrowd","1,600,000","seed","2013-09-04","Details",""
"18","500startups","Voxeet","1,500,000","seed","2014-02-03","Details",""
"19","Le Camping","Jellynote","750,000","seed","2016-07-01","Details",""
"20","Amplify.LA","TheBouqs","24,000,000","venture","2017-01-30","Details",""
"21","Boost VC","Atlas Card","1,800,000","seed","2015-12-31","Details",""
"22","Techstars","SketchFab","2,000,000","seed","2013-12-05","Details",""
"23","Seedrocket","Kantox","10,000,000","venture","2015-05-27","Details",""
"24","AngelPad","TapFwd","","seed","2014-06-19","Details",""
"25","Le Camping","Sketchfab","2,000,000","seed","2013-12-05","Details",""
"26","Y Combinator","NetBeez","500,000","seed","2016-11-16","Details",""
"27","Techstars","Atlas","1,800,000","seed","2015-12-31","Details",""
