"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","IQ Capital Partners","miiCard","845,884","seed","2011-09-15","Details",""
"2","New Wave Ventures","miiCard","2,500,000","seed","2012-04-30","Details",""
"3","VoiVoda Ventures","gremln","60,000","venture","2013-04-01","Details",""
"4","Westpac's ReInventure Fund","PromisePay","10,000,000","venture","2016-06-15","Details",""
"5","Suranga Chandratillake","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"6","SixThirty - FinTech Accelerator","WealthAccess","3,000,000","venture","2014-04-24","Details",""
"7","SeedInvest","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"8","iSELECT FUND","gremln","500,000","seed","2014-11-03","Details",""
"9","Capital Innovators","gremln","700,000","angel","2012-12-24","Details",""
"10","Robert Bukaty","Pfitr","336,000","seed","2014-08-01","Details",""
"11","Rob Dobson","miiCard","1,710,000","undisclosed","2014-04-11","Details",""
"12","Sean Kell","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"13","Missouri Technology Corporation","Pfitr","150,000","convertible_note","2015-01-30","Details",""
"14","Chuck Vallurupalli","Pfitr","75,000","seed","2014-11-30","Details",""
"15","Walter Galvin","Pfitr","50,000","convertible_note","2015-07-15","Details",""
"16","Cultivation Capital","gremln","500,000","seed","2014-11-03","Details",""
"17","Carsales","PromisePay","10,000,000","venture","2016-06-15","Details",""
"18","Capital Innovators","gremln","","seed","2011-09-01","Details",""
"19","SixThirty - FinTech Accelerator","gremln","100,000","seed","2014-04-22","Details",""
"20","Capital Innovators","Pfitr","336,000","seed","2014-08-01","Details",""
"21","SixThirty - FinTech Accelerator","PromisePay","100,000","seed","2014-04-22","Details",""
"22","Capital Innovators","gremln","","seed","2011-09-01","Details",""
"23","SixThirty - FinTech Accelerator","New Constructs","50,000","convertible_note","2015-04-14","Details",""
"24","SixThirty - FinTech Accelerator","DAVO Technologies","","seed","2015-05-01","Details",""
"25","Maine Technology Institute","DAVO Technologies","2,220,000","seed","2014-12-31","Details",""
"26","Prosper Women Entrepreneurs","Bandura","50,000","convertible_note","2015-08-23","Details",""
"27","Route 66 Ventures","Hedgeable","1,750,000","seed","2014-09-01","Details",""
"28","Tech Coast Angels","gremln","523,452","venture","2013-10-18","Details",""
"29","SixThirty - FinTech Accelerator","Bandura","","convertible_note","2015-04-14","Details",""
"30","Council & Enhanced Tennessee Fund","WealthAccess","3,000,000","venture","2014-04-24","Details",""
"31","VoiVoda Ventures","gremln","60,000","venture","2013-04-01","Details",""
"32","Cultivation Capital","Upside","100,000","seed","2013-10-01","Details","Exited"
"33","SixThirty - FinTech Accelerator","Data Simply","100,000","seed","2014-10-14","Details",""
"34","Confluence Capital","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"35","Reinventure","PromisePay","2,000,000","seed","2015-06-24","Details",""
"36","CMFG VENTURES","Rippleshot","2,600,000","venture","2017-02-08","Details",""
"37","KDWC Ventures","Rippleshot","2,400,000","seed","2015-11-18","Details",""
"38","SixThirty - FinTech Accelerator","DAVO Technologies","2,220,000","seed","2014-12-31","Details",""
"39","SixThirty - FinTech Accelerator","Rippleshot","800,000","seed","2015-02-07","Details",""
"40","SixThirty - FinTech Accelerator","Rippleshot","2,400,000","seed","2015-11-18","Details",""
"41","Wintrust Ventures","Rippleshot","2,400,000","seed","2015-11-18","Details",""
"42","Mastercard Start Path","Rippleshot","","non_equity_assistance","2015-07-24","Details",""
"43","SixThirty - FinTech Accelerator","LendingStandard","412,000","seed","2015-02-17","Details",""
"44","UMB Banks","Pfitr","50,000","convertible_note","2015-07-15","Details",""
"45","Service Provider Capital","Rippleshot","2,600,000","venture","2017-02-08","Details",""
"46","iSELECT FUND","gremln","500,000","seed","2014-11-03","Details",""
"47","Innotech Capitals","Rippleshot","","seed","2015-07-24","Details",""
"48","KDWC Ventures","Rippleshot","2,600,000","venture","2017-02-08","Details",""
"49","Cultivation Capital","gremln","720,000","venture","2016-02-04","Details",""
"50","Capital Innovators","gremln","700,000","angel","2012-12-24","Details",""
"51","Council & Enhanced Tennessee Fund","WealthAccess","1,489,977","venture","2014-02-11","Details",""
"52","SixThirty - FinTech Accelerator","PromisePay","","seed","2015-12-28","Details",""
"53","Rampersand","PromisePay","10,000,000","venture","2016-06-15","Details",""
"54","Prosper Women Entrepreneurs","Bandura","40,000","convertible_note","2015-11-13","Details",""
"55","Tech Coast Angels","gremln","523,452","venture","2013-10-18","Details",""
"56","Cultivation Capital","gremln","720,000","venture","2016-02-04","Details",""
"57","Elaine Wherry","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"58","Prosper Women Entrepreneurs","Bandura","25,000","convertible_note","2016-05-10","Details",""
"59","Joe Maxwell","WealthAccess","1,489,977","venture","2014-02-11","Details",""
"60","Cultivation Capital","PromisePay","2,000,000","seed","2015-06-24","Details",""
"61","Cultivation Capital","gremln","500,000","seed","2014-11-03","Details",""
"62","SixThirty - FinTech Accelerator","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"63","Noah Tutak","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"64","Cultivation Capital","PromisePay","","seed","2015-12-28","Details",""
"65","GEIF Ventures","miiCard","2,500,000","seed","2012-04-30","Details",""
"66","VC FinTech Accelerator","Pfitr","50,000","seed","2016-05-12","Details",""
"67","SixThirty - FinTech Accelerator","Pfitr","150,000","convertible_note","2015-01-30","Details",""
"68","FIS","Pfitr","200,000","convertible_note","2016-05-05","Details",""
"69","SixThirty - FinTech Accelerator","Pfitr","336,000","seed","2014-08-01","Details",""
"70","Robert Tobin","Pfitr","336,000","seed","2014-08-01","Details",""
"71","Bruno Bowden","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"72","Daniel Koetting","Pfitr","25,000","convertible_note","2016-03-15","Details",""
"73","Par Equity","miiCard","2,500,000","seed","2012-04-30","Details",""
"74","SixThirty - FinTech Accelerator","Hedgeable","100,000","seed","2013-10-02","Details",""
"75","Cultivation Capital","Upside","1,100,000","venture","2014-07-14","Details","Exited"
"76","Mark Harbottle","PromisePay","2,000,000","seed","2015-06-24","Details",""
"77","Cultivation Capital","PromisePay","10,000,000","venture","2016-06-15","Details",""
"78","SixThirty - FinTech Accelerator","Upside","100,000","seed","2013-10-01","Details","Exited"
"79","SixThirty - FinTech Accelerator","gremln","100,000","seed","2014-04-22","Details",""
"80","Kima Ventures","PromisePay","150,000","seed","2013-11-26","Details",""
"81","Mark Harbottle","PromisePay","10,000,000","venture","2016-06-15","Details",""
"82","Pascal Bouvier","Hedgeable","1,750,000","seed","2014-09-01","Details",""
"83","Rampersand","PromisePay","2,000,000","seed","2015-06-24","Details",""
"84","SixThirty - FinTech Accelerator","miiCard","100,000","undisclosed","2013-10-02","Details",""
