"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Adam Draper","ZapChain","350,000","seed","2015-11-06","Details",""
"2","Portland Seed Fund","Gliph","25,000","seed","2012-03-01","Details","Dead"
"3","Relay Ventures","7shifts","1,200,000","seed","2016-05-26","Details",""
"4","Raymond Tonsing","AuditFile","3,000,000","venture","2014-02-07","Details",""
"5","Techstars","Ziibra","118,000","seed","2015-07-27","Details","Exited"
"6","Digital Currency Group","BlockScore","2,000,000","seed","2014-06-25","Details",""
"7","Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"8","Kristian Andersen","AuditFile","","seed","2013-02-01","Details",""
"9","Brian Yee","AuditFile","3,000,000","venture","2014-02-07","Details",""
"10","Tim Draper","Atlas Card","400,000","seed","2014-08-01","Details",""
"11","Raju Indukuri","Swyft","550,000","seed","2014-07-01","Details",""
"12","The Westly Group","Feastly","1,250,000","seed","2014-11-25","Details",""
"13","Gaston Bercun","Mevu","1,000,000","angel","2007-11-28","Details",""
"14","SeedInvest","snapCard","1,500,000","seed","2014-10-06","Details",""
"15","Vinny Lingham","Swyft","2,500,000","venture","2017-05-03","Details",""
"16","Michael Rauchman","AuditFile","3,000,000","venture","2014-02-07","Details",""
"17","Tim Draper","Down","1,000,000","seed","2013-04-29","Details","Exited"
"18","Marc Benioff","Hedgy","1,200,000","seed","2015-04-30","Details",""
"19","Chris Hitchen","Coinjar","500,000","seed","2013-12-01","Details",""
"20","Lightspeed Venture Partners","BlockScore","2,000,000","seed","2014-06-25","Details",""
"21","Semil Shah","Gliph","25,000","seed","2014-01-31","Details","Dead"
"22","Blake Mycoskie","Transcense","1,800,000","seed","2016-11-16","Details",""
"23","Tim Draper","Favor","13,000,000","venture","2015-03-13","Details",""
"24","Xavier Niel","Transcense","1,800,000","seed","2016-11-16","Details",""
"25","Dorm Room Fund","Transcense","","venture","2015-01-01","Details",""
"26","RATP Dev","Swyft","2,500,000","venture","2017-05-03","Details",""
"27","Fenway Summer Ventures","Align Commerce","1,250,000","seed","2014-07-01","Details",""
"28","Draper Associates","HashRabbit","500,000","seed","2015-02-04","Details",""
"29","Silverton Partners","Favor","13,000,000","venture","2015-03-13","Details",""
"30","GameFounders","imgnation","15,000","seed","2015-10-01","Details",""
"31","Samsung NEXT","Swyft","2,500,000","venture","2017-05-03","Details",""
"32","LAUNCHub","intugame","100,000","seed","2014-08-01","Details",""
"33","Pantera Capital","Gliph","340,000","seed","2013-12-18","Details","Dead"
"34","AME Cloud Ventures","BlockCypher","3,100,000","seed","2015-01-14","Details",""
"35","FJ Labs","Transcense","1,800,000","seed","2016-11-16","Details",""
"36","Tim Draper","BitPagos","600,000","seed","2014-01-29","Details",""
"37","Amasia","BitPagos","600,000","seed","2014-01-29","Details",""
"38","Jake Zeller","AuditFile","3,000,000","venture","2014-02-07","Details",""
"39","Tim Draper","ZapChain","350,000","seed","2015-11-06","Details",""
"40","Draper Richards","AuditFile","3,000,000","venture","2014-02-07","Details",""
"41","Right Side Capital Management","AppFuel","200,000","convertible_note","2013-07-16","Details","Exited"
"42","Boost Bitcoin Fund","ZapChain","350,000","seed","2015-11-06","Details",""
"43","Boost VC","7shifts","1,200,000","seed","2016-05-26","Details",""
"44","Shana Fisher","Alphalem","200,000","seed","2014-07-18","Details","Dead"
"45","Portland Seed Fund","Gliph","200,000","seed","2013-09-19","Details","Dead"
"46","Crosslink Capital","Mirror","8,800,000","venture","2015-06-03","Details",""
"47","Tim Draper","Mirror","8,800,000","venture","2015-06-03","Details",""
"48","Pantera Capital","Align Commerce","12,500,000","venture","2015-11-17","Details",""
"49","The Whittemore Collection","BitPagos","1,900,000","venture","2017-01-03","Details",""
"50","S3 Ventures","Favor","13,000,000","venture","2015-03-13","Details",""
"51","Adeyemi Ajao","Verse","1,800,000","seed","2015-08-15","Details",""
"52","Fenway Summer Ventures","Align Commerce","1,500,000","seed","2015-04-29","Details",""
"53","Plug and Play","Swyft","2,500,000","venture","2017-05-03","Details",""
"54","Digital Currency Group","BitPagos","25,000","seed","2013-09-01","Details",""
"55","Expansion Venture Capital","Airenvy","2,650,000","venture","2015-01-20","Details",""
"56","Bill Boebel","Favor","1,200,000","debt_financing","2013-04-01","Details",""
"57","Silverton Partners","Favor","1,200,000","debt_financing","2013-04-01","Details",""
"58","Niraj Mehta","BitPagos","1,200,000","seed","2015-05-26","Details",""
"59","Recruit Strategic Partners","Align Commerce","12,500,000","venture","2015-11-17","Details",""
"60","Investo","BitPagos","2,000,000","seed","2013-10-10","Details",""
"61","FundersClub","Unocoin","1,500,000","venture","2016-09-30","Details",""
"62","Sherpa Capital","Airenvy","","convertible_note","2014-03-17","Details",""
