"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Innovation Works","Shoefitr","30,000","venture","2010-05-31","Details","Exited"
"2","Volition Capital","The Resumator","15,000,000","venture","2014-08-19","Details",""
"3","AlphaLab","Tunessence","25,000","seed","2012-10-25","Details",""
"4","Rincon Venture Partners","The Resumator","15,000,000","venture","2014-08-19","Details",""
"5","Mark Cuban","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"6","Innovation Works","The Resumator","2,100,000","venture","2012-10-30","Details",""
"7","Innovation Works","Insurance Zebra","","seed","2012-06-10","Details",""
"8","Urban Redevelopment Authority of Pittsburgh","AthleteTrax","","seed","2014-12-17","Details",""
"9","Innovation Works","Aurochs Brewing Company","200,000","seed","2013-11-21","Details",""
"10","ff Venture Capital","The Resumator","700,000","angel","2011-05-06","Details",""
"11","Innovation Works","Collected","100,000","convertible_note","2014-03-17","Details",""
"12","AlphaLab","Chogger","25,000","seed","2008-06-01","Details","Dead"
"13","Innovation Works","Wing Ma'am","50,000","seed","2014-04-17","Details",""
"14","Simon Nixon","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"15","AlphaLab","MegaBits","25,000","seed","2013-10-23","Details",""
"16","Innovation Works","ComVibe","","seed","2012-05-24","Details",""
"17","Christopher Muenchhoff","The Resumator","700,000","angel","2011-05-06","Details",""
"18","Innovation Works","The Resumator","700,000","angel","2011-05-06","Details",""
"19","AlphaLab","Shoefitr","25,000","seed","2009-06-04","Details","Exited"
"20","AlphaLab","GameHuddle","25,000","seed","2008-06-01","Details",""
"21","Innovation Works","Digital Dream Labs","","seed","2013-06-26","Details",""
"22","Rincon Venture Partners","The Resumator","2,100,000","venture","2012-10-30","Details",""
"23","AlphaLab","Workshirt","25,000","seed","2013-02-06","Details",""
"24","Birchmere Ventures","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"25","Innovation Works","AccelDiagnostics","","convertible_note","2015-01-14","Details",""
"26","AlphaLab","Crono","25,000","seed","2008-07-01","Details","Dead"
"27","Silverton Partners","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"28","AlphaLab","SkillLife","","seed","2010-01-01","Details","Dead"
"29","Blue Cloud Ventures","The Resumator","15,000,000","venture","2014-08-19","Details",""
"30","AlphaLab","Hub19","25,000","seed","2011-10-26","Details","Dead"
"31","FLOODGATE","Insurance Zebra","4,500,063","seed","2013-12-06","Details",""
"32","Innovation Works","Shoefitr","1,200,000","venture","2011-10-28","Details","Exited"
"33","Innovation Works","AutoRef","850,000","seed","2013-04-12","Details","Dead"
"34","Innovation Works","Bueda","100,000","venture","2010-07-01","Details","Dead"
"35","Carnegie Mellon University","NoWait","50,000","seed","2012-06-01","Details","Exited"
"36","Paige Craig","The Resumator","700,000","angel","2011-05-06","Details",""
"37","AutoScout24","AutoRef","850,000","seed","2013-04-12","Details","Dead"
"38","AlphaLab","NoWait","10,000,000","venture","2014-05-20","Details","Exited"
"39","Birchmere Ventures","NoWait","2,000,000","venture","2012-08-28","Details","Exited"
"40","AlphaLab","Bueda","25,000","seed","2008-06-02","Details","Dead"
"41","AlphaLab","80 Degrees West","","seed","2010-05-17","Details",""
"42","Plug & Play Ventures","Bracketz","25,000","seed","2012-02-10","Details",""
"43","AlphaLab","SolePower","25,000","seed","2013-02-06","Details",""
"44","AlphaLab","iTwixie","25,000","seed","2008-06-03","Details",""
"45","Innovation Works","FutureDerm","150,000","seed","2012-12-21","Details",""
"46","AlphaLab","NavPrescience","25,000","seed","2009-01-06","Details",""
"47","Carnegie Mellon University","Collected","100,000","convertible_note","2014-03-17","Details",""
"48","AlphaLab","Bracketz","25,000","seed","2012-02-10","Details",""
"49","Innovation Works","FutureDerm","40,000","seed","2014-05-01","Details",""
