"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Murugesh Govindasamy","Gtail","400,000","seed","2015-03-01","Details",""
"2","LaunchHouse","Duel","25,000","seed","2012-11-26","Details","Dead"
"3","Ravi Velu","Gtail","400,000","seed","2015-03-01","Details",""
"4","LaunchHouse","Quick2LAUNCH","","seed","2012-11-01","Details",""
"5","Scott Moss","Gtail","400,000","seed","2015-03-01","Details",""
"6","Joseph Golobitsky","Gtail","400,000","seed","2015-03-01","Details",""
"7","Michael Kislansky","Gtail","400,000","seed","2015-03-01","Details",""
"8","Bryce Bunker","Gtail","400,000","seed","2015-03-01","Details",""
"9","Robert Pietrick","Gtail","400,000","seed","2015-03-01","Details",""
"10","LaunchHouse","FitVia","25,000","seed","2012-11-28","Details","Dead"
"11","LaunchHouse","HooftyMatch","25,000","seed","2012-12-20","Details",""
