"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Emerge Education","NurseryBook","25,000","seed","2014-01-01","Details",""
"2","Wayra","StudentFunder","656,679","grant","2014-10-01","Details",""
"3","Adrian Eaglestone","Unitu","25,000","seed","2015-01-01","Details",""
"4","IBIS Capital","Primo","750,000","seed","2014-10-10","Details",""
"5","Emerge Education","Drum Roll","25,000","seed","2014-08-01","Details",""
"6","Federico Pirzio-Biroli","Bibblio","300,000","angel","2015-03-06","Details",""
"7","Walter Badillo","Bibblio","300,000","angel","2015-03-06","Details",""
"8","Emerge Education","Primo","25,000","seed","2014-08-01","Details",""
"9","Brian Daly","Unitu","25,000","seed","2015-01-01","Details",""
"10","Emerge Education","Learn Forward","25,000","seed","2015-01-01","Details",""
"11","Emerge Education","DoodleMaths","25,000","seed","2015-01-01","Details",""
"12","Emerge Education","NurseryBook","","seed","2015-04-01","Details",""
"13","Sarah Wood","Bibblio","300,000","angel","2015-03-06","Details",""
"14","George Farha","Bibblio","1,500,000","seed","2017-01-09","Details",""
"15","Hambro Perks Ltd.","PI-TOP","3,500,000","venture","2016-11-03","Details",""
"16","Downing Ventures","NurseryBook","","seed","2015-04-01","Details",""
"17","Emerge Education","Unitu","25,000","seed","2015-01-01","Details",""
"18","Emerge Education","Ncite Neuromedia","25,000","seed","2015-01-01","Details",""
"19","Josh Valman","Primo","","seed","2013-09-01","Details",""
"20","Emerge Education","StudentFunder","25,000","seed","2014-01-01","Details",""
"21","University of Southampton","Unitu","5,000","grant","2014-06-01","Details",""
"22","Howzat Partners","Bibblio","1,500,000","seed","2017-01-09","Details",""
"23","Crowdcube","Primo","274,726","equity_crowdfunding","2016-01-30","Details",""
"24","Volker Hirsch","PI-TOP","3,500,000","venture","2016-11-03","Details",""
"25","Emerge Education","Sixth Domain","25,000","seed","2014-01-01","Details",""
"26","Committed Capital","PI-TOP","3,500,000","venture","2016-11-03","Details",""
"27","Emerge Education","LearnCube","25,000","seed","2014-08-01","Details",""
"28","Emerge Education","Linguese","25,000","seed","2014-08-01","Details",""
"29","Emerge Education","Recurrence","25,000","seed","2015-01-01","Details",""
"30","Emerge Education","Ellumia","25,000","seed","2014-01-01","Details",""
"31","Barrie Heptonstall","Unitu","25,000","seed","2015-01-01","Details",""
"32","Claus Moseholm","Bibblio","1,500,000","seed","2017-01-09","Details",""
"33","Neon Adventures","Bibblio","300,000","angel","2015-03-06","Details",""
"34","Emerge Education","Bibblio","1,500,000","seed","2017-01-09","Details",""
"35","01 Ventures","Bibblio","1,500,000","seed","2017-01-09","Details",""
"36","Volker Hirsch","PI-TOP","25,000","seed","2015-01-01","Details",""
"37","Right Side Capital Management","Recurrence","250,000","seed","2013-09-10","Details",""
"38","Emerge Education","A Tale Unfolds","25,000","seed","2014-08-01","Details",""
"39","Neon Adventures","Primo","","angel","2015-04-01","Details",""
"40","Emerge Education","Meducation","25,000","seed","2014-01-01","Details",""
"41","Mike Cholod","Unitu","25,000","seed","2015-01-01","Details",""
"42","Emerge Education","PI-TOP","25,000","seed","2015-01-01","Details",""
"43","Emerge Education","Lexicum","25,000","seed","2014-01-01","Details",""
"44","Neil Hutchinson","Unitu","25,000","seed","2015-01-01","Details",""
"45","Nathan Elstub","Unitu","25,000","seed","2015-01-01","Details",""
"46","Ben Arbib","Unitu","25,000","seed","2015-01-01","Details",""
"47","Jisc","Unitu","25,000","grant","2015-01-19","Details",""
