"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","UpTech Accelerator","Tixers","20,000","seed","2013-11-01","Details","Exited"
"2","UpTech Accelerator","Tixers","20,000","seed","2013-10-01","Details","Exited"
"3","UpTech Accelerator","linkedu","10,000","seed","2015-03-01","Details",""
"4","UpTech Accelerator","Travel Notes","10,000","seed","2015-07-01","Details","Exited"
"5","UpTech Accelerator","Hello Parent","10,000","seed","2015-03-01","Details",""
"6","UpTech Accelerator","Bearhug Technologies","10,000","seed","2014-04-01","Details",""
"7","UpTech Accelerator","Dr. Scribbles","20,000","seed","2014-10-01","Details",""
"8","UpTech Accelerator","Text and the City","50,000","seed","2012-06-01","Details","Dead"
"9","UpTech Accelerator","3DLT","20,000","seed","2013-11-01","Details","Dead"
"10","UpTech Accelerator","Hapzing","10,000","seed","2015-04-01","Details",""
"11","UpTech Accelerator","InstrumentLife","50,000","seed","2012-07-01","Details",""
"12","UpTech Accelerator","New Home Marketing Services (NHMS)","10,000","seed","2014-03-01","Details",""
"13","UpTech Accelerator","Liquid","10,000","seed","2014-04-01","Details",""
"14","UpTech Accelerator","Bearhug Technologies","20,000","seed","2014-09-01","Details",""
"15","Connetic Ventures","Hello Parent","450,000","seed","2015-07-01","Details",""
"16","Queen City Angels","OneMorePallet","300,000","angel","2013-11-07","Details",""
"17","UpTech Accelerator","Crowdspark","18,000","seed","2013-06-01","Details",""
"18","UpTech Accelerator","OneMorePallet","15,000","seed","2012-11-01","Details",""
"19","Northern Kentucky Growth Fund","Hello Parent","450,000","seed","2015-07-01","Details",""
"20","UpTech Accelerator","Hapzing","10,000","seed","2015-01-01","Details",""
"21","UpTech Accelerator","Text and the City","25,830","seed","2013-01-01","Details","Dead"
"22","UpTech Accelerator","Liquid","20,000","seed","2013-10-01","Details",""
"23","UpTech Accelerator","Nekst","10,000","seed","2015-05-01","Details",""
"24","UpTech Accelerator","Waygr","20,000","seed","2014-11-01","Details",""
"25","UpTech Accelerator","Nekst","10,000","seed","2015-01-01","Details",""
"26","UpTech Accelerator","New Home Marketing Services (NHMS)","10,000","seed","2014-01-01","Details",""
"27","UpTech Accelerator","Tixers","250,000","seed","2014-08-04","Details","Exited"
"28","UpTech Accelerator","Hello Parent","20,000","seed","2014-10-01","Details",""
"29","UpTech Accelerator","Inteo","20,000","seed","2014-03-01","Details",""
"30","UpTech Accelerator","Bearhug Technologies","20,000","seed","2013-10-01","Details",""
"31","UpTech Accelerator","Crowdspark","12,000","seed","2013-04-01","Details",""
"32","UpTech Accelerator","OneMorePallet","20,000","seed","2013-06-01","Details",""
"33","UpTech Accelerator","Liquid","10,000","seed","2014-07-01","Details",""
"34","UpTech Accelerator","Nekst","20,000","seed","2014-11-01","Details",""
"35","UpTech Accelerator","Hello Parent","10,000","seed","2015-01-01","Details",""
"36","UpTech Accelerator","Text and the City","15,000","seed","2012-11-01","Details","Dead"
"37","UpTech Accelerator","Crowdspark","10,000","seed","2012-11-01","Details",""
"38","UpTech Accelerator","Inteo","20,000","seed","2013-10-01","Details",""
"39","UpTech Accelerator","New Home Marketing Services (NHMS)","20,000","seed","2013-10-01","Details",""
"40","Innovation Capital","CitiLogics","2,260,000","venture","2006-07-18","Details","Exited"
"41","UpTech Accelerator","Text and the City","10,000","seed","2014-04-01","Details","Dead"
"42","UpTech Accelerator","New Home Marketing Services (NHMS)","10,000","seed","2013-11-01","Details",""
"43","UpTech Accelerator","Waygr","10,000","seed","2015-04-01","Details",""
"44","UpTech Accelerator","linkedu","20,000","seed","2014-10-01","Details",""
"45","UpTech Accelerator","3DLT","20,000","seed","2014-02-01","Details","Dead"
"46","TechFund Capital","CitiLogics","2,260,000","venture","2006-07-18","Details","Exited"
"47","UpTech Accelerator","Waygr","10,000","seed","2015-02-01","Details",""
"48","UpTech Accelerator","3DLT","50,000","convertible_note","2014-06-01","Details","Dead"
"49","UpTech Accelerator","OneMorePallet","15,000","seed","2012-10-01","Details",""
"50","Queen City Angels","OneMorePallet","325,000","seed","2013-11-01","Details",""
"51","UpTech Accelerator","Hapzing","30,000","seed","2014-10-01","Details",""
"52","UpTech Accelerator","linkedu","10,000","seed","2014-12-01","Details",""
"53","UpTech Accelerator","3DLT","10,000","seed","2014-04-01","Details","Dead"
"54","Queen City Angels","OneMorePallet","150,000","seed","2014-06-17","Details",""
"55","UpTech Accelerator","Liquid","10,000","seed","2014-01-01","Details",""
"56","UpTech Accelerator","Tixers","10,000","seed","2015-03-14","Details","Exited"
"57","UpTech Accelerator","Travel Notes","10,000","seed","2015-04-01","Details","Exited"
"58","UpTech Accelerator","Hello Parent","450,000","seed","2015-07-01","Details",""
"59","UpTech Accelerator","Travel Notes","20,000","seed","2014-10-01","Details","Exited"
"60","UpTech Accelerator","Inteo","10,000","seed","2014-12-01","Details",""
"61","UpTech Accelerator","Crowdspark","10,000","seed","2013-03-01","Details",""
"62","UpTech Accelerator","OneMorePallet","50,000","seed","2012-06-01","Details",""
"63","UpTech Accelerator","Waygr","5,000","seed","2015-06-01","Details",""
"64","UpTech Accelerator","Crowdspark","50,000","seed","2012-07-01","Details",""
