"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","i/o Ventures","vid.io","","seed","2012-03-01","",""
"2","Sand Hill Angels","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"3","Erik Moore","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"4","Zelkova Ventures","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"5","i/o Ventures","TouchofModern (previously Skyara)","","seed","2010-07-01","Details",""
"6","Partech Ventures","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"7","Social Capital","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"8","Galvanize Ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"9","GV","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"10","Seven Peaks Ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"11","Timothy Ferriss","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"12","General Catalyst Partners","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"13","Alfred Lin","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"14","Tom McInerney","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"15","Daniel Curran","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"16","500 Startups","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"17","i/o Ventures","ApptheGame","","seed","2012-08-15","Details","Exited"
"18","i/o Ventures","Pieceable","","seed","2011-03-01","Details","Exited"
"19","Aber Whitcomb","TouchofModern (previously Skyara)","","seed","2010-07-01","Details",""
"20","Lucas Venture Group","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"21","Gary Vaynerchuk","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"22","General Catalyst Partners","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"23","Social Capital","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"24","i/o Ventures","Appsperse","","seed","2012-03-01","Details",""
"25","Jason Calacanis","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"26","Stewart Butterfield","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"27","Berkeley Ventures","CodeEval","","seed","2011-03-01","Details","Exited"
"28","Social Capital","Cozy (previously Avenue)","5,000,000","venture","2013-10-15","Details",""
"29","i/o Ventures","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"30","i/o Ventures","CodeEval","","seed","2011-03-01","Details","Exited"
"31","IT-Farm","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"32","Social Capital","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"33","Stewart Butterfield","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"34","Jason Calacanis","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"35","i/o Ventures","Onefeat","","seed","2012-03-01","Details",""
"36","Daniel Curran","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"37","i/o Ventures","Damntheradio","","seed","2010-01-01","Details","Exited"
"38","American Family Ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"39","Galvanize Ventures","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"40","IT-Farm","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"41","FLOODGATE","TouchofModern (previously Skyara)","3,000,000","venture","2013-07-11","Details",""
"42","Silicon Valley Bank","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"43","i/o Ventures","Appbistro","","seed","2010-01-01","Details","Exited"
"44","Tandem Capital","ApptheGame","","seed","2013-03-11","Details","Exited"
"45","FLOODGATE","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"46","Seraph Group","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"47","i/o Ventures","Cortex","","seed","2011-03-01","Details","Exited"
"48","Social Starts","Onefeat","","angel","2012-08-01","Details",""
"49","Seven Peaks Ventures","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"50","Jason Calacanis","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"51","Base Ventures","Appbistro","600,000","angel","2010-08-13","Details","Exited"
"52","Great Oaks Venture Capital","TouchofModern (previously Skyara)","14,000,000","venture","2014-06-19","Details",""
"53","Hillsven Capital","TouchofModern (previously Skyara)","3,000,000","venture","2013-07-11","Details",""
