"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Founding Minds","Alumnify","1,300,000","seed","2014-10-10","Details",""
"2","Glasscock Financial Services","Complete Set","650,000","seed","2014-12-01","Details",""
"3","Capital Innovators","Collabra","100,000","seed","2016-09-20","Details",""
"4","Koleman Karleski","Complete Set","650,000","seed","2014-12-01","Details",""
"5","Velocity Indiana","Complete Set","15,000","seed","2014-06-30","Details",""
"6","Glasscock Financial Services","Complete Set","470,000","convertible_note","2016-03-31","Details",""
"7","Velocity Indiana","MobileServe","15,000","seed","2015-03-01","Details",""
"8","Wright Steenrod","Complete Set","650,000","seed","2014-12-01","Details",""
"9","CincyTech","Complete Set","10,000","grant","2012-08-16","Details",""
"10","J. David Grissom","Complete Set","650,000","seed","2014-12-01","Details",""
"11","Chattanooga Renaissance Fund","Alumnify","1,300,000","seed","2014-10-10","Details",""
"12","Zillionize Angel","Alumnify","","seed","2015-08-06","Details",""
"13","firedUP","Alumnify","1,300,000","seed","2014-10-10","Details",""
"14","The Vogt Awards","The Recovery Station","20,000","seed","2014-09-05","Details",""
"15","Tony Schy","Complete Set","470,000","convertible_note","2016-03-31","Details",""
"16","The iNKUbator","Complete Set","5,000","grant","2012-09-04","Details",""
"17","Doug Cobb","Complete Set","470,000","convertible_note","2016-03-31","Details",""
"18","Velocity Indiana","Smart Lanes","15,000","seed","2015-03-01","Details","Dead"
"19","Sequel Fund","MobileServe","1,000,000","seed","2017-01-15","Details",""
"20","Access Ventures","MobileServe","1,000,000","seed","2017-01-15","Details",""
"21","Velocity Indiana","Sweetwater Beverage","15,000","seed","2015-03-01","Details",""
"22","M25 Group","Complete Set","1,000,000","seed","2017-05-16","Details",""
"23","Connetic Ventures","Complete Set","470,000","convertible_note","2016-03-31","Details",""
"24","Techstars","Complete Set","20,000","seed","2016-06-27","Details",""
"25","Kentucky Science and Technology Corporation (KSTC)","MobileServe","1,000,000","seed","2017-01-15","Details",""
"26","Tony Schy","Complete Set","650,000","seed","2014-12-01","Details",""
"27","Koleman Karleski","Complete Set","470,000","convertible_note","2016-03-31","Details",""
"28","Zillionize Angel","Alumnify","1,300,000","seed","2014-10-10","Details",""
"29","Cherub Fund","Complete Set","650,000","seed","2014-12-01","Details",""
"30","David Jones","Complete Set","470,000","convertible_note","2016-03-31","Details",""
"31","David Jones","Complete Set","650,000","seed","2014-12-01","Details",""
"32","Techstars","Complete Set","100,000","convertible_note","2016-06-29","Details",""
"33","KTECH Capital","Complete Set","470,000","convertible_note","2016-03-31","Details",""
"34","Doug Cobb","Complete Set","650,000","seed","2014-12-01","Details",""
"35","Right Side Capital Management","Complete Set","100,000","convertible_note","2016-06-29","Details",""
"36","The Vogt Awards","Collabra","25,000","grant","2016-08-24","Details",""
"37","Tony Schy","Alumnify","1,300,000","seed","2014-10-10","Details",""
"38","Velocity Indiana","Schedule It","15,000","seed","2015-03-01","Details",""
"39","Velocity Indiana","Credit Fair-e","15,000","seed","2015-03-01","Details",""
"40","500 Startups","Alumnify","1,300,000","seed","2014-10-10","Details",""
"41","Village88 TechLab","Alumnify","1,300,000","seed","2014-10-10","Details",""
