"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Creative England","Flowify","35,000","seed","2013-01-01","Details",""
"2","Pitch@Palace","Twile","","non_equity_assistance","2016-11-02","Details",""
"3","Findmypast","Twile","300,000","non_equity_assistance","2016-02-01","Details",""
"4","Pitch@Palace","Twile","300,000","non_equity_assistance","2016-02-01","Details",""
"5","Regional Growth Fund","Flowify","35,000","seed","2013-01-01","Details",""
"6","FamilySearch","Twile","300,000","non_equity_assistance","2016-02-01","Details",""
