"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Prosper Women Entrepreneurs","Smart Monitor","50,000","convertible_note","2015-01-20","Details",""
"2","Billiken Angels Network","Bookalokal","","seed","2015-06-15","Details",""
"3","Capital Innovators","HealthyMe","50,000","seed","2013-09-01","Details",""
"4","Prosper Women Entrepreneurs","Smart Monitor","30,000","convertible_note","2015-08-01","Details",""
"5","Entrepreneurs Roundtable Accelerator","Bookalokal","40,000","seed","2014-01-06","Details",""
"6","Prosper Women Entrepreneurs","Bookalokal","20,000","seed","2015-01-20","Details",""
"7","500 Startups","KiteReaders","","seed","2013-04-24","Details",""
"8","Plug and Play","KiteReaders","","convertible_note","2013-07-22","Details",""
"9","Prosper Women Entrepreneurs","Wondermento","50,000","seed","2015-01-01","Details",""
"10","Prosper Women Entrepreneurs","KiteReaders","50,000","convertible_note","2015-01-20","Details",""
