"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","The Brandery","Off Track Planet","500,000","seed","2013-12-06","Details",""
"2","NewMe Accelerator","Dwllr","","seed","2012-11-14","Details",""
"3","The Brandery","Dwllr","15,000","seed","2013-11-25","Details",""
"4","The Brandery","MusicPlay Analytics","20,000","seed","2014-07-18","Details",""
"5","Eugen Miropolski","FlightCar","5,600,000","venture","2013-04-16","Details","Exited"
"6","Great Oaks Venture Capital","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"7","The Brandery","Bitcasa","11,000,000","venture","2013-11-11","Details","Dead"
"8","The Brandery","Crowdhall","70,000","seed","2012-09-01","Details","Dead"
"9","The Brandery","RentShare","305,000","seed","2011-07-01","Details","Exited"
"10","Comcast Ventures","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"11","GGV Capital","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"12","Brian Chesky","FlightCar","5,600,000","venture","2013-04-16","Details","Exited"
"13","BYU Cougar Capital","Bitcasa","1,325,000","undisclosed","2011-10-20","Details","Dead"
"14","Pelion Venture Partners","Bitcasa","1,500,000","seed","2011-01-01","Details","Dead"
"15","Forest Giant","Keepio","255,000","seed","2011-08-01","Details","Dead"
"16","The Brandery","Keepio","255,000","seed","2011-08-01","Details","Dead"
"17","CincyTech","VenueAgent","190,000","seed","2011-10-06","Details",""
"18","Jim Patterson","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"19","Danhua Capital","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"20","SoftBank Capital","FlightCar","5,600,000","venture","2013-04-16","Details","Exited"
"21","Drummond Road Capital","Pingage","800,000","seed","2013-05-20","Details",""
"22","Horizons Ventures","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"23","CrunchFund","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"24","Hyde Park Venture Partners","Pingage","3,100,000","venture","2014-01-21","Details",""
"25","Anibal Ituarte","Off Track Planet","200,000","seed","2011-07-05","Details",""
"26","CincyTech","VenturePax","200,000","seed","2011-05-01","Details",""
"27","Tencent Holdings","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"28","The Brandery","HireWheel","20,000","seed","2014-07-18","Details",""
"29","The Brandery","Dwllr","20,000","venture","2013-06-25","Details",""
"30","Northwestern Capital","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"31","Samsung Ventures","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"32","New Highlands Ventures","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"33","CincyTech","RoadTrippers","250,000","seed","2012-06-11","Details",""
"34","CMU OFEF","popAD","180,000","seed","2014-07-15","Details",""
"35","Drive Capital","RoadTrippers","2,500,000","venture","2013-08-12","Details",""
"36","Trevor Wright","Strap","1,200,000","seed","2014-12-02","Details",""
"37","The Brandery","ChoreMonster","25,000","seed","2011-08-01","Details",""
"38","Tony Alexander","RoadTrippers","250,000","seed","2012-06-11","Details",""
"39","TEEC Angel Fund","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"40","CincyTech","Pingage","3,100,000","venture","2014-01-21","Details",""
"41","Vine St. Ventures","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"42","The Brandery","VenturePax","50,000","seed","2011-08-01","Details",""
"43","Ludlow Ventures","RoadTrippers","250,000","seed","2012-06-11","Details",""
"44","Wendy Lea","Strap","1,200,000","seed","2014-12-02","Details",""
"45","Origin Ventures","Pingage","3,100,000","venture","2014-01-21","Details",""
"46","The Brandery","TurboBOTZ","","seed","2010-01-01","Details","Dead"
"47","Calvin Soh","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"48","Disney Accelerator","ChoreMonster","120,000","seed","2014-06-30","Details",""
"49","Devon George","Off Track Planet","200,000","seed","2011-07-05","Details",""
"50","Vine St. Ventures","Pingage","800,000","seed","2013-05-20","Details",""
"51","SV Angel","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"52","First Round","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"53","Drummond Road Capital","Pingage","3,100,000","venture","2014-01-21","Details",""
"54","The Brandery","VenueAgent","190,000","seed","2011-10-06","Details",""
"55","Sam Guren","Crowdhall","70,000","seed","2012-09-01","Details","Dead"
"56","Vine St. Ventures","Donde","165,000","angel","2013-07-30","Details","Exited"
"57","Klaus von Sayn-Wittgenstein","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"58","SoftBank Capital","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"59","CincyTech","TurboBOTZ","250,000","venture","2011-03-04","Details","Dead"
"60","Y Combinator","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"61","North Coast Angel Fund","Pingage","800,000","seed","2013-05-20","Details",""
"62","Drummond Road Capital","Pingage","600,000","seed","2013-02-01","Details",""
"63","The Priceline Group","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"64","Tim Kopp","Donde","165,000","angel","2013-07-30","Details","Exited"
"65","Great Oaks Venture Capital","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"66","Rory Hackett","Crowdhall","70,000","seed","2012-09-01","Details","Dead"
"67","The Brandery","Strap","20,000","seed","2014-07-18","Details",""
"68","Crosslink Capital","Giftiki","1,000,000","venture","2011-04-20","Details","Exited"
"69","John Ason","Off Track Planet","200,000","seed","2011-07-05","Details",""
"70","Pelion Venture Partners","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"71","The Brandery","Pingage","800,000","seed","2013-05-20","Details",""
"72","First Round","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"73","VegasTechFund","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"74","Pelion Venture Partners","Bitcasa","11,000,000","venture","2013-11-11","Details","Dead"
"75","Scott Lieberman","TapFit","100,000","angel","2014-01-01","Details",""
"76","Social Starts","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"77","The Brandery","Spaciety","40,000","seed","2011-07-01","Details","Dead"
"78","CincyTech","VenturePax","10,000","seed","2009-09-01","Details",""
"79","Wilson Sonsini Goodrich & Rosati","Off Track Planet","200,000","seed","2011-07-05","Details",""
"80","Vine St. Ventures","ChoreMonster","775,000","seed","2012-12-31","Details",""
"81","The Brandery","RoadTrippers","20,000","seed","2011-07-01","Details",""
"82","The Brandery","ChoreMonster","775,000","seed","2012-12-31","Details",""
"83","The Brandery","ChoreMonster","1,500,000","venture","2013-07-31","Details",""
"84","The Brandery","ChoreMonster","355,000","seed","2012-01-05","Details",""
"85","The Brandery","Receept","","seed","2011-07-01","Details","Dead"
"86","Detroit Venture Partners","ChoreMonster","1,500,000","venture","2013-07-31","Details",""
"87","CincyTech","ChoreMonster","775,000","seed","2012-12-31","Details",""
"88","Jim Price","RoadTrippers","250,000","seed","2012-06-11","Details",""
"89","John Tan","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"90","The Brandery","RoadTrippers","250,000","seed","2012-06-11","Details",""
"91","The Brandery","Pingage","250,000","seed","2012-10-01","Details",""
"92","CincyTech","ChoreMonster","355,000","seed","2012-01-05","Details",""
"93","SoftBank Capital","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"94","Andreessen Horowitz","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"95","The Brandery","VenturePax","","seed","2010-11-19","Details",""
"96","Vine St. Ventures","Dwllr","20,000","venture","2013-06-25","Details",""
