"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Northstar Ventures","CrowdIPR","135,000","seed","2012-03-23","Details",""
"2","Northstar Ventures","SpecifiedBy","90,000","seed","2014-03-20","Details",""
"3","Hotspur Capital","SpecifiedBy","22,500","seed","2013-10-25","Details",""
"4","IP Group Plc","Moltin","95,000","seed","2014-03-27","Details",""
"5","Northstar Ventures","Bizpora","27,500","seed","2013-10-21","Details","Exited"
"6","Northstar Ventures","OrderHarmony","22,500","seed","2012-09-25","Details",""
"7","IP Group Plc","KonnectAgain","85,000","seed","2014-06-02","Details",""
"8","Ignite Accelerator","Websand","27,500","seed","2013-10-21","Details",""
"9","Hotspur Capital","OrderHarmony","22,500","seed","2012-09-25","Details",""
"10","IP Group Plc","Artspotter","19,750","seed","2011-10-11","Details",""
"11","Shu Duan","Moltin","2,000,000","seed","2016-01-13","Details",""
"12","Northstar Ventures","Reframed.tv","90,000","seed","2014-02-14","Details","Dead"
"13","Northstar Ventures","Websand","27,500","seed","2013-10-21","Details",""
"14","Northstar Ventures","Reframed.tv","128,474","seed","2014-12-16","Details","Dead"
"15","Stuart Coulson","KonnectAgain","620,000","angel","2016-01-01","Details",""
"16","Northstar Ventures","Websand","35,000","seed","2015-05-27","Details",""
"17","Crowdcube","Fantoo","520,000","equity_crowdfunding","2013-11-27","Details",""
"18","IP Group Plc","Reframed.tv","90,000","seed","2014-02-14","Details","Dead"
"19","Hotspur Capital","KonnectAgain","27,500","seed","2013-12-03","Details",""
"20","IP Group Plc","Blooie","112,500","seed","2013-03-21","Details",""
"21","Angels Den","Fantoo","24,988","seed","2015-05-01","Details",""
"22","Northstar Ventures","Moltin","95,000","seed","2014-03-27","Details",""
"23","Hotspur Capital","Fantoo","27,500","seed","2012-10-01","Details",""
"24","Hotspur Capital","Verticly","22,500","seed","2013-10-22","Details",""
"25","IP Group Plc","Verticly","22,500","seed","2013-10-22","Details",""
"26","Doug Scott","Websand","160,000","seed","2014-01-01","Details",""
"27","Northstar Ventures","Websand","160,000","seed","2014-03-03","Details",""
"28","IP Group Plc","Papertrail","22,500","seed","2013-10-21","Details",""
"29","Tom Kelly","KonnectAgain","620,000","angel","2016-01-01","Details",""
"30","Northstar Ventures","Papertrail","130,000","seed","2014-02-14","Details",""
"31","Northstar Ventures","Givey","90,000","seed","2012-02-08","Details",""
"32","Northstar Ventures","Verticly","1,100,000","venture","2016-03-30","Details",""
