"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","BoomStartup","MashWorx","","seed","2010-09-03","Details","Dead"
"2","Utah Angels","IActionable","","angel","2010-10-01","Details",""
"3","Ralph Yarro","icount","167,500","angel","2011-01-01","Details",""
"4","BoomStartup","ChampionVillage","","seed","2011-05-05","Details","Dead"
"5","BoomStartup","IActionable","","seed","2010-05-01","Details",""
"6","BoomStartup","icount","15,000","seed","2010-05-01","Details",""
"7","BoomStartup","BlueRoof360","","seed","2012-05-03","Details",""
"8","John Richards","icount","167,500","angel","2011-01-01","Details",""
"9","BoomStartup","Jumbas","","seed","2011-05-05","Details","Dead"
"10","BoomStartup","CityGro","","seed","2012-05-03","Details",""
"11","BoomStartup","FindProz","","seed","2011-05-05","Details",""
"12","BoomStartup","Explorer.io","","seed","2011-05-05","Details",""
"13","John Pestana","icount","167,500","angel","2011-01-01","Details",""
"14","BoomStartup","FaceTags","","seed","2011-05-05","Details","Dead"
"15","BoomStartup","TextMeTix","","seed","2012-05-03","Details",""
"16","BoomStartup","XoomPark","","seed","2012-05-03","Details",""
"17","BoomStartup","Referral.IM","","seed","2012-05-03","Details",""
"18","BoomStartup","CircleFive","","seed","2011-05-05","Details",""
"19","Josh James","icount","167,500","angel","2011-01-01","Details",""
"20","Martin Frey","icount","167,500","angel","2011-01-01","Details",""
"21","John Pestana","IActionable","","angel","2010-10-01","Details",""
"22","BoomStartup","Match Make Inc","","seed","2012-03-03","Details","Exited"
"23","Warren Osborn","icount","167,500","angel","2011-01-01","Details",""
"24","Rod Watson","icount","167,500","angel","2011-01-01","Details",""
"25","BoomStartup","TaleSpring","","seed","2010-09-03","Details",""
