"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Follett Knowledge Fund","ThinkCERCA","3,200,000","venture","2015-03-11","Details",""
"2","The Impact Engine","ThinkCERCA","","seed","2012-08-07","Details",""
"3","Jason Henrichs","ThinkCERCA","3,200,000","venture","2015-03-11","Details",""
"4","Amicus Capital","ThinkCERCA","3,200,000","venture","2015-03-11","Details",""
"5","Nessan Fitzmaurice","ThinkCERCA","1,500,000","venture","2014-06-03","Details",""
"6","IGNIA","Pangea","","venture","2016-12-06","Details",""
"7","Origin Ventures","Pangea","1,000,000","seed","2013-05-01","Details",""
"8","Larry Kaplan","Pangea","1,000,000","seed","2013-05-01","Details",""
"9","OCA Ventures","Pangea","1,000,000","seed","2013-05-01","Details",""
"10","Abundant Ventures LLC","ThinkCERCA","1,500,000","venture","2014-06-03","Details",""
"11","The Impact Engine","Effortless Energy","","seed","2012-08-07","Details","Dead"
"12","Great Oaks Venture Capital","ThinkCERCA","3,200,000","venture","2015-03-11","Details",""
"13","Bryant Keil","Pangea","1,000,000","seed","2013-05-01","Details",""
"14","KGC Capital","Pangea","4,970,053","venture","2014-05-05","Details",""
"15","The Impact Engine","Portapure","","seed","2012-08-07","Details",""
"16","FireStarter Fund","Pangea","1,000,000","seed","2013-05-01","Details",""
"17","KDWC Ventures","Pangea","","venture","2016-12-06","Details",""
"18","Jump Capital","Pangea","1,000,000","seed","2013-05-01","Details",""
"19","Bill Gee","Pangea","1,000,000","seed","2013-05-01","Details",""
"20","The Impact Engine","Pangea","","venture","2016-12-06","Details",""
"21","The Impact Engine","Pangea","1,000,000","seed","2013-05-01","Details",""
"22","Jump Capital","Pangea","","venture","2016-12-06","Details",""
"23","Bob Montgomery","ThinkCERCA","1,500,000","venture","2014-06-03","Details",""
"24","The Impact Engine","Raise5","","seed","2012-08-07","Details",""
"25","Math Venture Partners","ThinkCERCA","3,200,000","venture","2015-03-11","Details",""
"26","Chicago Ventures","Pangea","1,000,000","seed","2013-05-01","Details",""
"27","Chuck Templeton","ThinkCERCA","3,200,000","venture","2015-03-11","Details",""
"28","Deborah Quazzo","ThinkCERCA","1,500,000","venture","2014-06-03","Details",""
"29","Chuck Templeton","ThinkCERCA","1,500,000","venture","2014-06-03","Details",""
"30","The Impact Engine","Azadi","","seed","2012-08-07","Details",""
