"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","First Round","CricketHealth","2,600,000","seed","2016-01-28","Details",""
"2","Brainchild Holdings","CricketHealth","2,600,000","seed","2016-01-28","Details",""
"3","FLOODGATE","Liquidspace","1,300,000","seed","2010-12-21","Details",""
"4","BoxGroup","CricketHealth","950,000","convertible_note","2015-06-11","Details",""
"5","ROTH Capital Partners","Liquidspace","14,000,000","venture","2014-10-30","Details",""
"6","The GPT Group","Liquidspace","6,000,000","venture","2013-01-15","Details",""
"7","Oliver Thylmann","Honeybook","10,000,000","venture","2014-09-22","Details",""
"8","Lucas Venture Group","Liquidspace","14,000,000","venture","2014-10-30","Details",""
"9","Naval Ravikant","Honeybook","10,000,000","venture","2014-09-22","Details",""
"10","Michael Birch","Honeybook","10,000,000","venture","2014-09-22","Details",""
"11","Norwest Venture Partners - NVP","Honeybook","14,000,000","venture","2016-06-08","Details",""
"12","Marc Bell Ventures","Honeybook","10,000,000","venture","2014-09-22","Details",""
"13","Shasta Ventures","Liquidspace","14,000,000","venture","2014-10-30","Details",""
"14","UpWest Labs","Honeybook","10,000,000","venture","2014-09-22","Details",""
"15","NFX Guild","The Hotels Network","50,000","seed","2015-10-15","Details",""
"16","Sand Hill Angels","Airbanq","750,000","angel","2014-04-30","Details",""
"17","NFX Guild","The Hotels Network","100,000","convertible_note","2016-07-12","Details",""
"18","NFX Guild","Outdoorsy","120,000","seed","2015-12-01","Details",""
"19","Draper Venture Network","Frisbee","1,050,000","seed","2016-08-23","Details",""
"20","Black Diamond Ventures","Liquidspace","14,000,000","venture","2014-10-30","Details",""
"21","NFX Guild","Finrise","100,000","seed","2016-02-25","Details",""
"22","Rick Marini","Honeybook","10,000,000","venture","2014-09-22","Details",""
"23","Norwest Venture Partners - NVP","Honeybook","22,000,000","venture","2015-03-05","Details",""
"24","NFX Guild","Liquidspace","120,000","venture","2015-06-01","Details",""
"25","Ooga Labs","Honeybook","10,000,000","venture","2014-09-22","Details",""
"26","Polytech Ecosystem Venture","Headnote","370,000","seed","2016-09-08","Details",""
"27","Carthona Capital","Honeybook","22,000,000","venture","2015-03-05","Details",""
"28","NFX Guild","Cavalry","200,000","seed","2016-09-08","Details",""
"29","FLOODGATE","Liquidspace","3,600,000","venture","2011-05-10","Details",""
"30","Techammer","Genome Compiler","","seed","2013-10-21","Details","Exited"
"31","Greylock Partners","Frisbee","1,050,000","seed","2016-08-23","Details",""
"32","Alex Ok","Frisbee","1,050,000","seed","2016-08-23","Details",""
"33","Craig Dworkin","Frisbee","1,050,000","seed","2016-08-23","Details",""
"34","Autotech Ventures","Outdoorsy","","venture","2016-05-12","Details",""
"35","Seven Peaks Ventures","CricketHealth","950,000","convertible_note","2015-06-11","Details",""
"36","NFX Guild","FairFly","","seed","2017-03-02","Details",""
"37","First Round","CricketHealth","950,000","convertible_note","2015-06-11","Details",""
"38","NFX Guild","CricketHealth","950,000","convertible_note","2015-06-11","Details",""
"39","Seven Peaks Ventures","CricketHealth","2,600,000","seed","2016-01-28","Details",""
"40","Cowboy Ventures","Airbanq","3,350,000","seed","2016-09-07","Details",""
"41","NFX Guild","Frisbee","120,000","seed","2017-03-02","Details",""
"42","Aleph","Honeybook","14,000,000","venture","2016-06-08","Details",""
"43","NFX Guild","Unlimited Reality","400,000","seed","2017-01-01","Details",""
"44","iAngels","Finrise","100,000","seed","2016-02-25","Details",""
