"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","BDC Venture Capital","CreamHR","150,000","convertible_note","2013-07-07","Details",""
"2","Marc Altshuller","PumpUp","200,000","angel","2013-09-30","Details",""
"3","Communitech HYPERDRIVE","PumpUp","40,000","angel","2013-02-01","Details",""
"4","Azure Capital Partners","PumpUp","2,400,000","seed","2014-07-25","Details",""
"5","General Catalyst Partners","PumpUp","2,400,000","seed","2014-07-25","Details",""
"6","Mike Stork","PumpUp","200,000","angel","2013-09-30","Details",""
"7","Velocity","PumpUp","25,000","grant","2012-11-01","Details",""
"8","Relay Ventures","PumpUp","2,400,000","seed","2014-07-25","Details",""
"9","Velocity","Oikoi","25,000","seed","2012-11-01","Details",""
"10","Jim Estill","PumpUp","200,000","angel","2013-09-30","Details",""
"11","Steve Gilpin","PumpUp","200,000","angel","2013-09-30","Details",""
"12","Relay Ventures","PumpUp","200,000","angel","2013-09-30","Details",""
