"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Senexx","250,000","seed","2011-03-16","Details","Exited"
"2","Reuven Agassi","Drippler","250,000","angel","2011-06-09","Details",""
"3","Seven Seas Venture Partners","Invi","2,000,000","undisclosed","2015-07-21","Details",""
"4","UpWest Labs","LiveMed","35,000","seed","2015-02-01","Details",""
"5","CrunchFund","CodersClan","","seed","2014-10-02","Details",""
"6","Oded Grinstein","LiveMed","525,000","seed","2016-01-15","Details",""
"7","Lenovo","Neura","11,000,000","venture","2016-01-18","Details",""
"8","UpWest Labs","CodersClan","820,000","seed","2015-05-05","Details",""
"9","Microsoft Accelerator","Neura","","non_equity_assistance","2014-08-13","Details",""
"10","Daniel Zadok","Apester (prev. Qmerce)","1,000,000","angel","2011-07-17","Details",""
"11","UpWest Labs","OffScale","","seed","2012-03-29","Details",""
"12","Entree Capital","CodersClan","","seed","2014-10-02","Details",""
"13","JANVEST Capital Partners, LLC","Backand","1,000,000","seed","2015-01-02","Details",""
"14","Giora Kaplan","Apester (prev. Qmerce)","5,000,000","venture","2015-07-08","Details",""
"15","Horizons Ventures","Invi","750,000","seed","2012-11-14","Details",""
"16","Innodo","Drippler","1,600,000","venture","2014-05-02","Details",""
"17","UpWest Labs","Drippler","250,000","angel","2011-06-09","Details",""
"18","UpWest Labs","CodersClan","20,000","seed","2013-09-10","Details",""
"19","UpWest Labs","KeyWee","9,100,000","venture","2015-03-24","Details",""
"20","Oren Zeev","Preen.me","800,000","seed","2012-10-09","Details",""
"21","Microsoft Accelerator","Backand","","venture","2012-04-29","Details",""
"22","David Cao","Comeet","1,200,000","seed","2016-06-26","Details",""
"23","UpWest Labs","Qlika","20,000","seed","2013-03-15","Details","Exited"
"24","A-Grade Investments","Invi","2,250,000","seed","2013-06-25","Details",""
"25","Dov Moran","Backand","100,000","angel","2013-12-18","Details",""
"26","UpWest Labs","Preen.me","800,000","seed","2012-10-09","Details",""
"27","UpWest Labs","Backand","1,250,000","venture","2014-04-22","Details",""
"28","Titanium Investments","Drippler","1,600,000","venture","2014-05-02","Details",""
"29","UpWest Labs","AutomateIt","","undisclosed","2012-10-31","Details",""
"30","F50","Invi","2,000,000","undisclosed","2015-07-21","Details",""
"31","UpWest Labs","Neura","20,000","seed","2013-04-15","Details",""
"32","Eddy Shalev","LiveMed","525,000","seed","2016-01-15","Details",""
"33","Microsoft Accelerator","Neura","","venture","2015-03-09","Details",""
"34","UpWest Labs","Genoox","","seed","2014-08-25","Details",""
"35","Liberty Israel Venture Fund","Neura","11,000,000","venture","2016-01-18","Details",""
"36","David Litvak","LiveMed","525,000","seed","2016-01-15","Details",""
"37","Triple Point","Neura","2,000,000","venture","2014-04-08","Details",""
"38","Kima Ventures","CodersClan","820,000","seed","2015-05-05","Details",""
"39","UpWest Labs","UMake","4,500,000","venture","2015-12-03","Details",""
"40","Ben Narasin","Neura","2,000,000","venture","2014-04-08","Details",""
"41","Pitango Venture Capital","Neura","11,000,000","venture","2016-01-18","Details",""
"42","Atlantic Bridge","Invi","750,000","seed","2012-11-14","Details",""
"43","Liron Shapira","CodersClan","","seed","2014-10-02","Details",""
"44","UpWest Labs","HoneyBook","10,000,000","venture","2014-09-22","Details",""
"45","Tank Hill Ventures","Peer5","","venture","2014-10-23","Details",""
"46","The Westly Group","Sentinel","25,000,000","venture","2015-10-13","Details",""
"47","Inspiration Ventures","Reactful","1,400,000","seed","2016-09-06","Details",""
"48","Sound Ventures","Sentinel","70,000,000","venture","2017-01-25","Details",""
"49","Oliver Thylmann","HoneyBook","10,000,000","venture","2014-09-22","Details",""
"50","Horizons Ventures","Invi","2,250,000","seed","2013-06-25","Details",""
"51","GlenRock Israel","CyberX","2,000,000","seed","2014-06-04","Details",""
"52","Wellborn Ventures","vBrand","1,000,000","seed","2015-09-01","Details",""
"53","UpWest Labs","Reactful","20,000","seed","2013-04-15","Details",""
"54","Michal Tsur","Qlika","1,700,000","seed","2013-10-23","Details","Exited"
"55","Michael Birch","HoneyBook","10,000,000","venture","2014-09-22","Details",""
"56","UpWest Labs","Groovideo","","undisclosed","2012-06-13","Details","Dead"
"57","Accel","Sentinel","12,000,000","venture","2014-04-23","Details",""
"58","Data Collective","Sentinel","2,500,000","seed","2013-08-08","Details",""
"59","Lev J. Leytes","LiveMed","525,000","seed","2016-01-15","Details",""
"60","iAngels","Drippler","4,500,000","venture","2015-06-29","Details",""
"61","Granite Hill Capital Partners","Sentinel","25,000,000","venture","2015-10-13","Details",""
"62","Yanki Margalit","Drippler","4,500,000","venture","2015-06-29","Details",""
"63","UpWest Labs","Peer5","","seed","2012-10-01","Details",""
"64","Naval Ravikant","HoneyBook","10,000,000","venture","2014-09-22","Details",""
"65","Bobby Lent","Peer5","","seed","2014-01-05","Details",""
"66","Wellborn Ventures","vBrand","500,000","seed","2014-09-01","Details",""
"67","Tiger Global Management","Sentinel","25,000,000","venture","2015-10-13","Details",""
"68","Data Collective","Sentinel","12,000,000","venture","2014-04-23","Details",""
"69","UpWest Labs","Sentinel","20,000","seed","2013-03-15","Details",""
"70","Granite Hill Capital Partners","Sentinel","12,000,000","venture","2014-04-23","Details",""
"71","Art Reidel","Comeet","730,000","seed","2013-04-15","Details",""
"72","Glilot Capital Partners","Genoox","6,000,000","venture","2017-07-11","Details",""
"73","Ofir Azury","Neura","11,000,000","venture","2016-01-18","Details",""
"74","Third Point Ventures","Sentinel","70,000,000","venture","2017-01-25","Details",""
"75","Quixey","CodersClan","820,000","seed","2015-05-05","Details",""
"76","Wellborn Ventures","Apester (prev. Qmerce)","5,000,000","venture","2015-07-08","Details",""
"77","Horizons Ventures","Preen.me","800,000","seed","2012-10-09","Details",""
"78","Shy Cucuy","LiveMed","525,000","seed","2016-01-15","Details",""
"79","Bernardo Investment","Apester (prev. Qmerce)","1,000,000","angel","2011-07-17","Details",""
"80","Wellborn Ventures","Apester (prev. Qmerce)","12,000,000","venture","2016-04-19","Details",""
"81","Tal Kerret","Apester (prev. Qmerce)","5,000,000","venture","2015-07-08","Details",""
"82","Innovation Endeavors","KeyWee","9,100,000","venture","2015-03-24","Details",""
"83","UpWest Labs","Sentinel","25,000,000","venture","2015-10-13","Details",""
"84","Dov Moran","Backand","1,250,000","venture","2014-04-22","Details",""
"85","UpWest Labs","Dscovered","20,000","seed","2013-07-04","Details",""
"86","UpWest Labs","UMake","","seed","2014-08-25","Details",""
"87","Startupbootcamp","PlayerDuel","15,000","seed","2011-09-05","Details","Dead"
"88","Morris Kahn","Apester (prev. Qmerce)","5,000,000","venture","2015-07-08","Details",""
"89","Brian McClendon","UMake","700,000","seed","2015-09-01","Details",""
"90","UpWest Labs","Backand","1,000,000","seed","2015-01-02","Details",""
"91","UpWest Labs","SlickLogin","20,000","seed","2013-09-10","Details","Exited"
"92","AXA Strategic Ventures","Neura","11,000,000","venture","2016-01-18","Details",""
"93","Kima Ventures","CodersClan","","seed","2014-10-02","Details",""
"94","Giora Kaplan","CodersClan","","seed","2014-10-02","Details",""
"95","ff Venture Capital","CyberX","9,000,000","venture","2016-08-01","Details",""
"96","UpWest Labs","Comeet","730,000","seed","2013-04-15","Details",""
"97","Entree Capital","CodersClan","820,000","seed","2015-05-05","Details",""
"98","Gigi Weiss","CyberX","2,000,000","seed","2014-06-04","Details",""
"99","UpWest Labs","TapDog","20,000","seed","2013-04-15","Details","Exited"
"100","David Assia","Drippler","4,500,000","venture","2015-06-29","Details",""
"101","Boston Angels","Senexx","250,000","seed","2011-03-16","Details","Exited"
"102","Data Collective","Sentinel","25,000,000","venture","2015-10-13","Details",""
"103","Andreas Bechtolsheim","Sentinel","2,500,000","seed","2013-08-08","Details",""
"104","The Westly Group","Sentinel","70,000,000","venture","2017-01-25","Details",""
"105","SingTel Innov8","Neura","2,000,000","venture","2014-04-08","Details",""
"106","Hillsven Capital","HoneyBook","22,000,000","venture","2015-03-05","Details",""
