"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","StartMate","Pixel Together","50,000","seed","2015-06-22","Details",""
"2","StartMate","Setkick","25,000","seed","2012-01-01","Details",""
"3","Square Peg Capital","Scriptrock","1,200,000","angel","2012-06-01","Details",""
"4","500 Startups","Ninja Blocks","1,500,000","seed","2013-07-01","Details",""
"5","500 Startups","Filghtfox","800,000","angel","2012-05-29","Details",""
"6","StartMate","Grabble","25,000","seed","2011-01-01","Details","Exited"
"7","Alan Jones","Scriptrock","1,200,000","angel","2012-06-01","Details",""
"8","Mark Jung","Scriptrock","1,200,000","angel","2012-06-01","Details",""
"9","Nurzhas Makishev","Flirtey","","venture","2015-09-07","Details",""
"10","Justin Waldron","Flirtey","50,000","seed","2015-01-01","Details",""
"11","Darren Patterson","Lumific","200,000","seed","2014-07-01","Details","Exited"
"12","Starfish Ventures","Bugherd","550,000","seed","2012-01-25","Details",""
"13","Valar Ventures","Scriptrock","1,200,000","angel","2012-06-01","Details",""
"14","StartMate","Sporthold","150,000","seed","2014-01-01","Details",""
"15","500 Startups","Ninja Blocks","700,000","venture","2014-11-04","Details",""
"16","Peakview Capital","Flirtey","","venture","2015-09-07","Details",""
"17","Blackbird Ventures (Australia)","Bugcrowd","17,000,000","venture","2016-04-20","Details",""
"18","Lowercase Capital","Flirtey","16,000,000","venture","2017-01-18","Details",""
"19","Menlo Ventures","Flirtey","","venture","2015-09-07","Details",""
"20","Starfish Ventures","Scriptrock","1,200,000","angel","2012-06-01","Details",""
"21","Zillionize Angel","Flirtey","","venture","2015-09-07","Details",""
"22","Square Peg Capital","Ninja Blocks","1,500,000","seed","2013-07-01","Details",""
"23","Bessemer Venture Partners","Flirtey","","venture","2015-09-07","Details",""
"24","Y Combinator","Filghtfox","800,000","angel","2012-05-29","Details",""
"25","StartMate","Today We Learned","50,000","seed","2015-12-02","Details",""
"26","Marc Bell Ventures","Happy Inspector","2,781,000","venture","2015-02-19","Details",""
"27","Goodwater Capital","Flirtey","16,000,000","venture","2017-01-18","Details",""
"28","StartMate","Ninja Blocks","45,000","seed","2012-01-01","Details",""
"29","Blackbird Ventures (Australia)","Koala Safe","50,000","seed","2015-01-02","Details",""
