"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Great Oaks Venture Capital","1DocWay","1,700,000","seed","2015-07-21","Details","Exited"
"2","Fresco Capital","1DocWay","1,700,000","seed","2015-07-21","Details","Exited"
"3","DreamIt Ventures","oneAway","20,000","seed","2011-09-01","Details",""
"4","DreamIt Ventures","Aircare","","seed","2013-07-15","Details","Dead"
"5","Bullpen Capital","Grassroots Unwired","600,000","seed","2012-05-31","Details",""
"6","DreamIt Ventures","Yunno","15,000","seed","2010-05-01","Details",""
"7","Mesh Ventures","igloohome","1,250,000","seed","2015-12-16","Details",""
"8","Mitchell Blumenfeld","Spling","400,000","seed","2011-12-05","Details",""
"9","Michael Katz","Adapt.ly","2,000,000","venture","2011-04-18","Details",""
"10","FundersClub","Parsely","5,232,753","venture","2013-08-26","Details",""
"11","Chris Saridakis","SnipSnap","1,000,000","angel","2012-05-11","Details","Exited"
"12","Rock My World","1DocWay","1,700,000","seed","2015-07-21","Details","Exited"
"13","DreamIt Ventures","RealDietician","50,000","seed","2015-01-16","Details",""
"14","S.R. One , Limited","AvhanaHealth","750,000","seed","2015-06-30","Details",""
"15","CRV","Adapt.ly","2,000,000","venture","2011-04-18","Details",""
"16","Upstage Ventures","TakeTheInterview","","seed","2011-08-10","Details",""
"17","DreamIt Ventures","Bazaart","25,000","seed","2012-05-14","Details",""
"18","DreamIt Ventures","Lucidity Health","","seed","2013-04-04","Details",""
"19","Quotidian Ventures","ElectNext","700,000","seed","2014-01-30","Details",""
"20","DreamIt Ventures","Notorious","","seed","2014-01-10","Details",""
"21","DreamIt Ventures","UXFlip","20,000","seed","2011-09-01","Details","Exited"
"22","Theoria Capital","MindSnacks","1,200,000","seed","2011-03-09","Details",""
"23","DreamIt Ventures","ElectNext","","seed","2011-12-07","Details",""
"24","South Coast Angel Network","eyeQ","1,200,000","seed","2015-03-27","Details",""
"25","kbs+ Ventures","Adapt.ly","2,000,000","venture","2011-04-18","Details",""
"26","Entree Capital","Meerkat","200,000","seed","2013-04-01","Details",""
"27","TCP Venture Capital","Protenus","4,000,000","venture","2016-01-26","Details",""
"28","Stage One Capital","SeatGeek","550,000","angel","2010-01-08","Details",""
"29","Aviv Paz","pico","20,000","seed","2014-04-01","Details",""
"30","Rider Insurance","Octane Lending","850,000","seed","2014-12-04","Details",""
"31","Silverton Partners","NarrativeDx","650,000","seed","2015-06-08","Details",""
"32","FundersClub","Octane Lending","","venture","2016-04-13","Details",""
"33","A-Grade Investments","SeatGeek","","undisclosed","2011-02-26","Details",""
"34","Wavemaker Partners","igloohome","1,250,000","seed","2015-12-16","Details",""
"35","Ben Franklin Technology Partners of Southeastern Pennsylvania","Grand Round Table","250,000","seed","2015-05-06","Details",""
"36","Capital Innovators","pico","100,000","seed","2017-02-16","Details",""
"37","Blumberg Capital","Parsely","5,232,753","venture","2013-08-26","Details",""
"38","Paul Sethi","SeatGeek","550,000","angel","2010-01-08","Details",""
"39","Paul Sethi","SeatGeek","550,000","venture","2010-10-13","Details",""
