"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Kaplan Ventures","ExecOnline","5,000,000","venture","2014-10-23","Details",""
"2","Kaplan","ExecOnline","16,000,000","venture","2017-07-27","Details",""
"3","Haystack Partners","ExecOnline","5,000,000","venture","2014-10-23","Details",""
"4","Acceleprise Ventures","SIGKAT","","seed","2012-07-18","Details",""
"5","Osage Venture Partners","ExecOnline","5,000,000","venture","2014-10-23","Details",""
"6","Kate Eberle Walker","ExecOnline","5,000,000","venture","2014-10-23","Details",""
"7","Washington Post","ExecOnline","","seed","2012-07-18","Details",""
"8","Acceleprise Ventures","Mercury Continuity","","seed","2012-07-18","Details",""
"9","NewSpring Capital","ExecOnline","16,000,000","venture","2017-07-27","Details",""
"10","Dingman Center Angels","ExecOnline","","seed","2012-07-18","Details",""
"11","Acceleprise","ExecOnline","","seed","2012-07-18","Details",""
"12","New Atlantic Ventures","ExecOnline","16,000,000","venture","2017-07-27","Details",""
"13","NAV.VC","ExecOnline","5,000,000","venture","2014-10-23","Details",""
"14","Militello Capital","ExecOnline","5,000,000","venture","2014-10-23","Details",""
"15","Thomas Lehrman","ExecOnline","16,000,000","venture","2017-07-27","Details",""
"16","Osage Venture Partners","ExecOnline","16,000,000","venture","2017-07-27","Details",""
"17","Acceleprise Ventures","ConfrenceEdge","","seed","2012-07-20","Details",""
