"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","CIT GAP Funds","Mpowerplayer","2,500,000","a","2008-09-10","",""
"2","New Atlantic Ventures","Mpowerplayer","2,500,000","a","2008-09-10","",""
"3","LaunchBox Digital","MyGameMug","","seed","2008-04-01","",""
"4","LaunchBox Digital","Mpowerplayer","","seed","2008-04-01","",""
"5","Altos Ventures","Koofers","2,000,000","seed","2010-01-22","Details",""
"6","LaunchBox Digital","ShareMeme","","seed","2008-04-01","Details",""
"7","LaunchBox Digital","Zadby","","seed","2008-04-01","Details","Dead"
"8","500 Startups","ReClip.It","70,000","seed","2012-06-01","Details","Exited"
"9","MI Ventures","ReClip.It","770,000","angel","2011-06-01","Details","Exited"
"10","LaunchBox Digital","KeepFu","","seed","2009-04-01","Details","Dead"
"11","LaunchBox Digital","Unblab","","seed","2009-04-04","Details","Exited"
"12","LaunchBox Digital","JamLegend","","seed","2008-04-01","Details","Exited"
"13","LaunchBox Digital","SocialCollective","20,000","seed","2009-04-18","Details","Dead"
"14","LaunchBox Digital","Koofers","","seed","2008-04-01","Details",""
"15","Zelkova Ventures","Spring Metrics","635,000","seed","2011-03-23","Details",""
"16","New Atlantic Ventures","Koofers","5,000,000","venture","2010-09-29","Details",""
"17","fbFund","Koofers","","grant","2008-10-15","Details",""
"18","Ted Rheingold","ReClip.It","70,000","seed","2012-06-01","Details","Exited"
"19","Blueprint Health","Keona Health","2,585,000","venture","2014-03-31","Details",""
"20","Hadi Partovi","JamLegend","2,000,000","venture","2009-12-18","Details","Exited"
"21","Blueprint Health","Keona Health","20,000","seed","2013-01-01","Details",""
"22","Acta Wireless","Bandsintown","","seed","2006-08-01","Details","Exited"
"23","LaunchBox Digital","Slipstream","20,000","seed","2010-08-31","Details","Dead"
"24","LaunchBox Digital","Razume","","seed","2008-04-01","Details",""
"25","LaunchBox Digital","Legal River","","seed","2009-04-01","Details","Dead"
"26","LaunchBox Digital","Spring Metrics","635,000","seed","2011-03-23","Details",""
"27","New Atlantic Ventures","Koofers","2,000,000","seed","2010-01-22","Details",""
"28","LaunchBox Digital","TapMetrics","","seed","2009-04-04","Details","Exited"
"29","Mike Greenfield","ReClip.It","70,000","seed","2012-06-01","Details","Exited"
"30","LaunchBox Digital","Keen Guides","","seed","2009-04-01","Details",""
"31","Great Oaks Venture Capital","ReClip.It","770,000","angel","2011-06-01","Details","Exited"
"32","Y Combinator","MarketBrief","","seed","2011-08-02","Details",""
"33","QED Investors","Koofers","5,000,000","venture","2010-09-29","Details",""
"34","Revolution LLC","Koofers","5,000,000","venture","2010-09-29","Details",""
"35","Altos Ventures","Koofers","5,000,000","venture","2010-09-29","Details",""
