"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Tushky","","undisclosed","2013-01-01","Details",""
"2","Y Combinator","GetGoing","2,500,000","seed","2012-01-01","Details","Exited"
"3","Techstars","BuildersCloud","1,100,000","venture","2013-08-08","Details",""
"4","Nxtp.labs","WeHostels","1,200,000","seed","2012-03-18","Details","Exited"
"5","Y Combinator","Zesty","7,200,000","venture","2015-05-10","Details",""
"6","Y Combinator","Zesty","2,000,000","seed","2014-04-10","Details",""
