"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Eight","6,000,000","seed","2016-03-02","Details",""
"2","500startups","uBiome","22,000,000","venture","2016-11-01","Details",""
"3","Blueprint Health","Nurep","1,700,000","seed","2015-01-28","Details",""
"4","Y Combinator","uBiome","22,000,000","venture","2016-11-01","Details",""
"5","Imagine K12","CodeHS","1,750,000","seed","2015-01-23","Details",""
"6","The Alchemist Accelerator","NeoReach","2,500,000","venture","2014-06-01","Details",""
"7","Imagine K12","CodeHS","650,000","seed","2016-12-07","Details",""
"8","Y Combinator","analyticsMD","2,000,000","venture","2015-10-01","Details",""
"9","500startups","PredictionIO","2,500,000","seed","2014-07-17","Details","Exited"
"10","500startups","ORobotix","100,000","seed","2014-11-17","Details",""
"11","The Alchemist Accelerator","Flowcast","2,000,000","seed","2016-11-07","Details",""
"12","Y Combinator","Eight","6,000,000","seed","2016-03-02","Details",""
"13","Y Combinator","Nightingale","660,000","seed","2015-03-24","Details",""
