"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Partender","","seed","2014-05-01","Details",""
"2","500startups","Headout","1,800,000","seed","2015-04-23","Details",""
"3","500startups","Reesio","205,000","seed","2013-07-29","Details","Exited"
"4","DreamIT Ventures","Tourlandish","1,800,000","seed","2015-04-23","Details",""
"5","500startups","CoContest","620,000","seed","2015-09-01","Details",""
"6","500startups","Barn & Willow","125,000","seed","2015-10-10","Details",""
"7","500startups","Floqq","50,000","seed","2013-04-15","Details",""
"8","500startups","Geekatoo","500,000","seed","2014-01-17","Details","Exited"
"9","500startups","AstroPrint","300,000","seed","2014-11-01","Details",""
"10","500startups","binpress","1,000,000","seed","2013-09-30","Details","Exited"
"11","500startups","Partender","50,000","seed","2013-09-13","Details",""
"12","500startups","MailLift","50,000","seed","2013-10-07","Details",""
