"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Propeller Venture Accelerator","VideoElephant","1,400,000","seed","2016-08-01","Details",NA
"2",1,"Wayra","Trustev","3,207,168","convertible_note","2014-11-01","Details","Exited"
"3",2,"Wayra","Trustev","3,000,000","seed","2013-10-30","Details","Exited"
"4",3,"Propeller Venture Accelerator","VideoElephant","1,000,000","seed","2014-10-23","Details",""
"5",4,"Propeller Venture Accelerator","VideoElephant","1,100,000","seed","2012-12-01","Details",""
"6",5,"Wayra","Hiri","1,000,000","seed","2016-06-09","Details",""
