"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Seedcamp","kwaga","600,000","seed","2009-04-01","Details",NA
"2",1,"Boost VC","Transcense","1,800,000","seed","2016-11-16","Details",NA
"3",2,"Boost VC","Ava","1,800,000","seed","2016-11-16","Details",NA
