"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","YesGraph","1,300,000","seed","2013-05-22","Details",NA
"2",2,"Imagine K12","Kaizena","900,000","seed","2015-07-15","Details",NA
