"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Media Camp","Chute","2,700,000","seed","2012-07-24","Details",NA
"2",2,"Y Combinator","Chute","2,700,000","seed","2012-07-24","Details",NA
