"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Amicus","580,000","seed","2012-02-01","Details",NA
"2",1,"Y Combinator","Remix","2,000,000","seed","2014-12-01","Details",NA
