"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Techstars","Plated","15,000,000","venture","2014-08-09","Details",NA
"2",2,"Techstars","Plated","35,000,000","venture","2015-07-16","Details",NA
"3",3,"Boost VC","Align Commerce","1,500,000","seed","2015-04-29","Details",NA
"4",4,"Techstars","Plated","5,000,000","venture","2014-01-06","Details",NA
