"","V1","V2","V3","V4","V5","V6","V7","V8"
"82",69,"Peery Foundation","Vittana","75,000","grant","2009-12-01","Details",""
"83",70,"LaunchCapital","Life360","1,000,000","angel","2009-11-23","Details",""
"84",71,"Google","Life360","300,000","grant","2008-09-04","Details",""
"85",72,"Matt Mullenweg","GroupCard","","seed","2009-06-01","Details","Exited"
"86",73,"Peery Foundation","Vittana","125,000","grant","2010-12-01","Details",""
"87",74,"Peery Foundation","Vittana","100,000","grant","2011-12-01","Details",""
"88",75,"James Hong","Kontagent","1,000,000","angel","2010-04-09","Details",""
"89",76,"LaunchBox Digital","Koofers","","seed","2008-04-01","Details",""
"90",77,"Peery Foundation","Vittana","100,000","grant","2012-09-01","Details",""
"91",78,"Bessemer Venture Partners","Life360","10,000,000","venture","2013-07-07","Details",""
"92",79,"Yee Lee","GroupCard","","seed","2009-06-01","Details","Exited"
"93",80,"Rich Barton","Vittana","","seed","2010-01-01","Details",""
"94",81,"fbFund","RunThere","","seed","2009-06-01","Details",""
"95",82,"DCM","Life360","50,000,000","venture","2014-05-15","Details",""
"96",83,"Bessemer Venture Partners","Life360","5,500,000","venture","2011-09-01","Details",""
"97",84,"Peery Foundation","Samasource","100,000","grant","2013-03-01","Details",""
"98",85,"Rockefeller Foundation","Samasource","867,200","grant","2008-12-31","Details",""
"99",86,"Peery Foundation","Vittana","125,000","grant","2010-12-01","Details",""
"100",87,"500 Startups","Networked Blogs","150,000","seed","2011-01-17","Details",""
"101",88,"New Atlantic Ventures","Koofers","5,000,000","venture","2010-09-29","Details",""
"102",89,"Duchossois Capital Partners","Life360","7,000,000","venture","2013-12-17","Details",""
"103",90,"Lighthouse Capital Partners","Life360","2,250,000","debt_financing","2012-01-01","Details",""
"104",91,"Peery Foundation","Vittana","100,000","grant","2013-09-01","Details",""
"105",92,"Greg Thomson","Kontagent","1,000,000","angel","2010-04-09","Details",""
"106",93,"Band of Angels","Life360","1,000,000","angel","2009-11-23","Details",""
"107",94,"Seraph Group","Life360","1,000,000","angel","2009-11-23","Details",""
