"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Startmate","Flirtey","16,000,000","venture","2017-01-18","Details",NA
"2",2,"Y Combinator","Memebox","11,920,000","venture","2014-07-01","Details",NA
"3",3,"Y Combinator","Flirtey","16,000,000","venture","2017-01-18","Details",NA
"4",4,"Y Combinator","Memebox","17,500,000","venture","2015-01-30","Details",NA
"5",5,"Y Combinator","Memebox","","venture","2015-12-23","Details",NA
"6",6,"Y Combinator","Memebox","65,950,000","venture","2016-08-09","Details",NA
