"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Scale","4,500,000","venture","2017-06-22","Details",NA
"2",2,"Techstars","AdmitHub","2,950,000","seed","2017-01-11","Details",NA
"3",3,"Y Combinator","Casetext","1,800,000","seed","2013-10-01","Details",NA
"4",4,"Y Combinator","The Mednet","1,300,000","seed","2017-07-01","Details",NA
"5",1,"Y Combinator","EasyPost","2,250,000","seed","2014-01-01","Details",""
"6",2,"Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"7",3,"Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
"8",4,"Y Combinator","Zenefits","2,100,000","seed","2013-07-26","Details",""
