"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Spark Lab KC","knoda","400,000","seed","2014-01-01","Details",NA
"2",1,"The Yield Lab","APSE","100,000","seed","2015-12-01","Details",NA
