"","V1","V2","V3","V4","V5","V6","V7","V8"
"81",57,"Samsung Ventures","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"82",58,"Fenox Venture Capital","Socialize","","angel","2012-06-01","Details","Exited"
"83",59,"Samsung Ventures","Cinemacraft","600,000","venture","2016-03-01","Details",""
"84",60,"rocketship.vc","Meograph","875,000","seed","2016-08-31","Details",""
"85",61,"William Lohse","Chute","","angel","2011-08-01","Details",""
"86",62,"Media Camp","Socialize","20,000","seed","2012-06-07","Details","Exited"
"87",63,"Binh Tran","Chute","2,700,000","seed","2012-07-24","Details",""
"88",64,"Battery Ventures","Chute","2,700,000","seed","2012-07-24","Details",""
"89",65,"Maurice Werdegar","Meograph","760,000","seed","2015-03-09","Details",""
"90",66,"Allegro Venture Partners","Meograph","760,000","seed","2015-03-09","Details",""
"91",67,"Tekton Ventures","Chute","2,700,000","seed","2012-07-24","Details",""
"92",68,"500 Startups","Cinemacraft","600,000","venture","2016-03-01","Details",""
"93",69,"Western Technology Investment","Meograph","760,000","seed","2015-03-09","Details",""
"94",70,"Semyon Dukach","Meograph","875,000","seed","2016-08-31","Details",""
"95",71,"Larry Braitman","Meograph","760,000","seed","2015-03-09","Details",""
"96",72,"NTT DOCOMO Ventures","Cinemacraft","600,000","venture","2016-03-01","Details",""
"97",73,"NTT DOCOMO Ventures","Cinemacraft","3,900,000","venture","2015-02-09","Details",""
"98",74,"Freestyle Capital","Chute","7,000,000","venture","2013-05-07","Details",""
"99",75,"Semyon Dukach","Meograph","345,000","angel","2013-06-01","Details",""
"100",76,"Foundry Group","Chute","7,000,000","venture","2013-05-07","Details",""
"101",77,"U.S. Venture Partners (USVP)","Chute","7,000,000","venture","2013-05-07","Details",""
"102",78,"Michael Randolph","Meograph","345,000","angel","2013-06-01","Details",""
"103",79,"Fierce Capital","Cinemacraft","600,000","venture","2016-03-01","Details",""
"104",80,"Kate Van Sprange","Meograph","760,000","seed","2015-03-09","Details",""
"105",81,"Marc Berger","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"106",82,"Warner Brothers Media Camp","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"107",83,"Rosepaul Investments / RosePaul Ventures","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"108",84,"Signatures Capital","Plumzi","3,700,000","venture","2014-06-23","Details",""
"109",85,"David Anderman","Meograph","760,000","seed","2015-03-09","Details",""
"110",86,"RMR Capital","Storytime Studios, Inc.","500,000","seed","2014-05-06","Details",""
"111",87,"Media Camp","Cinecore","","seed","2013-05-01","Details",""
"112",88,"Media Camp","Matcha","20,000","seed","2012-06-07","Details","Exited"
"113",89,"Plug and Play","Matcha","","seed","2011-08-24","Details","Exited"
"114",90,"Reed Morse","Switchcam","1,200,000","seed","2012-06-14","Details","Dead"
"115",91,"500 Startups","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"116",92,"Wavemaker Partners","Dealflicks","2,900,000","seed","2015-10-27","Details",""
"117",93,"Media Camp","Switchcam","20,000","seed","2012-06-07","Details","Dead"
"118",94,"Peterson Ventures","Plumzi","","seed","2013-06-01","Details",""
"119",95,"500 Startups","Cinemacraft","1,500,000","seed","2013-09-17","Details",""
"120",96,"Mel Cutler","Meograph","760,000","seed","2015-03-09","Details",""
"121",97,"500 Startups","Cinemacraft","500,000","seed","2013-04-24","Details",""
"122",98,"Media Camp","SocialSamba","20,000","seed","2012-06-07","Details","Dead"
"123",99,"Izzy and Larissa Leybovich","Meograph","345,000","angel","2013-06-01","Details",""
"124",100,"Patrick Hammon","Meograph","345,000","angel","2013-06-01","Details",""
"125",101,"Pulsar Venture Capital","ChannelMeter","","seed","2014-05-31","Details",""
"126",102,"KAHM Capital","Meograph","345,000","angel","2013-06-01","Details",""
"127",103,"Fierce Capital","Cinemacraft","600,000","venture","2016-03-01","Details",""
"128",104,"Vikas Gupta","Switchcam","1,200,000","seed","2012-06-14","Details","Dead"
"129",105,"Media Camp","Cinemacraft","600,000","venture","2016-03-01","Details",""
"130",106,"GVA capital","Meograph","345,000","angel","2013-06-01","Details",""
"131",107,"Techstars","Storytime Studios, Inc.","","seed","2013-05-14","Details",""
"132",108,"Media Camp","Dealflicks","","seed","2013-05-01","Details",""
"133",109,"Hersh Narula","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"134",110,"David Beyer","Switchcam","1,200,000","seed","2012-06-14","Details","Dead"
"135",111,"Niket Desai","Switchcam","1,200,000","seed","2012-06-14","Details","Dead"
"136",112,"Luminari Capital","Plumzi","","seed","2013-06-01","Details",""
"137",113,"Jeffrey Schox","Switchcam","1,200,000","seed","2012-06-14","Details","Dead"
"138",114,"Barbara Corcoran Venture Partners","Dealflicks","2,900,000","seed","2015-10-27","Details",""
"139",115,"500 Startups","Switchcam","","seed","2011-10-26","Details","Dead"
"140",116,"Strong Ventures","Storytime Studios, Inc.","500,000","seed","2014-05-06","Details",""
"141",117,"500 Startups","ChannelMeter","100,000","seed","2014-01-01","Details",""
"142",118,"500 Startups","Dealflicks","2,900,000","seed","2015-10-27","Details",""
"143",119,"Larry Braitman","Dealflicks","1,700,000","seed","2014-07-21","Details",""
"144",120,"Mark Cuban","Switchcam","1,200,000","seed","2012-06-14","Details","Dead"
"145",121,"XG Ventures","Dealflicks","","seed","2013-05-01","Details",""
"146",122,"Federal Street Angels","Storytime Studios, Inc.","500,000","seed","2014-05-06","Details",""
