"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"AngelPad","Runnable","2,000,000","seed","2013-10-30","Details",NA
"2",2,"Techstars","Keen.io","14,700,000","venture","2016-06-29","Details",NA
