"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Smarking","3,000,000","seed","2015-05-13","Details",NA
"2",1,"Y Combinator","Castle","2,500,000","seed","2016-04-21","Details",NA
