"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","SmartAsset","12,000,000","venture","2016-09-08","Details",NA
"2",2,"Flashpoint","Springbot","6,000,000","venture","2015-06-05","Details",NA
"3",3,"Flashpoint","Springbot","4,000,000","venture","2013-07-24","Details",NA
"4",4,"Flashpoint","Springbot","10,000,000","venture","2016-12-15","Details",NA
