"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"500startups","Barn & Willow","1,000,000","venture","2017-05-10","Details",NA
"2",2,"Boost VC","BlockCypher","3,100,000","seed","2015-01-14","Details",NA
"3",1,"Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",NA
