"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Techstars","Placemeter","6,000,000","venture","2014-09-18","Details","Exited"
"2",2,"Techstars","Placemeter","1,600,000","venture","2016-06-30","Details","Exited"
"3",3,"Techstars","Placemeter","125,000","angel","2012-07-01","Details","Exited"
