"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,"Y Combinator","Payable","2,100,000","seed","2015-08-05","Details","Exited"
"2",1,"Y Combinator","Payable","2,100,000","seed","2015-08-05","Details",NA
"3",2,"Imagine K12","Swing Education","7,840,000","seed","2016-01-01","Details",NA
"4",3,"Y Combinator","Validere","2,000,000","seed","2016-09-07","Details",NA
