"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Seedrocket","DADA Company","90,000","angel","2015-05-15","Details",""
"2","Seedrocket","Reclamador","500,000","angel","2013-10-10","Details",""
